"","Predator","Prey"
"213","Ixobrychus minutus","Locustella fluviatilis"
"214","Ixobrychus minutus","Locustella luscinioides"
"215","Ixobrychus minutus","Acrocephalus melanopogon"
"216","Ixobrychus minutus","Acrocephalus paludicola"
"217","Ixobrychus minutus","Acrocephalus schoenobaenus"
"218","Ixobrychus minutus","Acrocephalus agricola"
"219","Ixobrychus minutus","Acrocephalus scirpaceus"
"220","Ixobrychus minutus","Acrocephalus dumetorum"
"221","Ixobrychus minutus","Acrocephalus palustris"
"222","Ixobrychus minutus","Acrocephalus arundinaceus"
"223","Ixobrychus minutus","Panurus biarmicus"
"224","Ciconia nigra","Cygnus olor"
"225","Ciconia nigra","Cygnus cygnus"
"226","Ciconia nigra","Cygnus columbianus"
"227","Ciconia nigra","Anser fabalis"
"228","Ciconia nigra","Anser brachyrhynchus"
"229","Ciconia nigra","Anser albifrons"
"230","Ciconia nigra","Anser erythropus"
"231","Ciconia nigra","Anser anser"
"232","Ciconia nigra","Branta leucopsis"
"233","Ciconia nigra","Branta bernicla"
"234","Ciconia nigra","Tadorna ferruginea"
"235","Ciconia nigra","Tadorna tadorna"
"236","Ciconia nigra","Anas penelope"
"237","Ciconia nigra","Anas strepera"
"238","Ciconia nigra","Anas crecca"
"239","Ciconia nigra","Anas platyrhynchos"
"240","Ciconia nigra","Anas acuta"
"241","Ciconia nigra","Anas querquedula"
"242","Ciconia nigra","Anas clypeata"
"243","Ciconia nigra","Marmaronetta angustirostris"
"244","Ciconia nigra","Netta rufina"
"245","Ciconia nigra","Aythya ferina"
"246","Ciconia nigra","Aythya nyroca"
"247","Ciconia nigra","Aythya fuligula"
"248","Ciconia nigra","Aythya marila"
"249","Ciconia nigra","Somateria mollissima"
"250","Ciconia nigra","Somateria spectabilis"
"251","Ciconia nigra","Polysticta stelleri"
"252","Ciconia nigra","Histrionicus histrionicus"
"253","Ciconia nigra","Clangula hyemalis"
"254","Ciconia nigra","Melanitta nigra"
"255","Ciconia nigra","Melanitta fusca"
"256","Ciconia nigra","Bucephala clangula"
"257","Ciconia nigra","Bucephala islandica"
"258","Ciconia nigra","Mergellus albellus"
"259","Ciconia nigra","Mergus serrator"
"260","Ciconia nigra","Mergus merganser"
"261","Ciconia nigra","Oxyura leucocephala"
"262","Ciconia nigra","Perdix perdix"
"263","Ciconia nigra","Coturnix coturnix"
"264","Ciconia nigra","Phasianus colchicus"
"265","Ciconia nigra","Turnix sylvaticus"
"266","Ciconia nigra","Haematopus ostralegus"
"267","Ciconia nigra","Burhinus oedicnemus"
"268","Ciconia nigra","Glareola pratincola"
"269","Ciconia nigra","Glareola nordmanni"
"270","Ciconia nigra","Vanellus vanellus"
"271","Ciconia nigra","Vanellus spinosus"
"272","Ciconia nigra","Vanellus indicus"
"273","Ciconia nigra","Vanellus leucurus"
"274","Ciconia nigra","Pluvialis apricaria"
"275","Ciconia nigra","Pluvialis squatarola"
"276","Ciconia nigra","Charadrius hiaticula"
"277","Ciconia nigra","Charadrius dubius"
"278","Ciconia nigra","Charadrius alexandrinus"
"279","Ciconia nigra","Charadrius leschenaultii"
"280","Ciconia nigra","Charadrius asiaticus"
"281","Ciconia nigra","Charadrius morinellus"
"282","Ciconia nigra","Lymnocryptes minimus"
"283","Ciconia nigra","Gallinago stenura"
"284","Ciconia nigra","Gallinago media"
"285","Ciconia nigra","Gallinago gallinago"
"286","Ciconia nigra","Limosa limosa"
"287","Ciconia nigra","Limosa lapponica"
"288","Ciconia nigra","Numenius phaeopus"
"289","Ciconia nigra","Numenius arquata"
"290","Ciconia nigra","Tringa erythropus"
"291","Ciconia nigra","Tringa totanus"
"292","Ciconia nigra","Tringa stagnatilis"
"293","Ciconia nigra","Tringa nebularia"
"294","Ciconia nigra","Tringa ochropus"
"295","Ciconia nigra","Tringa glareola"
"296","Ciconia nigra","Xenus cinereus"
"297","Ciconia nigra","Actitis hypoleucos"
"298","Ciconia nigra","Arenaria interpres"
"299","Ciconia nigra","Calidris canutus"
"300","Ciconia nigra","Calidris alba"
"301","Ciconia nigra","Calidris minuta"
"302","Ciconia nigra","Calidris temminckii"
"303","Ciconia nigra","Calidris melanotos"
"304","Ciconia nigra","Calidris alpina"
"305","Ciconia nigra","Calidris maritima"
"306","Ciconia nigra","Limicola falcinellus"
"307","Ciconia nigra","Philomachus pugnax"
"308","Ciconia nigra","Phalaropus lobatus"
"309","Ciconia nigra","Phalaropus fulicarius"
"310","Ciconia nigra","Ammomanes deserti"
"311","Ciconia nigra","Melanocorypha calandra"
"312","Ciconia nigra","Melanocorypha bimaculata"
"313","Ciconia nigra","Melanocorypha leucoptera"
"314","Ciconia nigra","Calandrella brachydactyla"
"315","Ciconia nigra","Calandrella rufescens"
"316","Ciconia nigra","Calandrella cheleensis"
"317","Ciconia nigra","Chersophilus duponti"
"318","Ciconia nigra","Galerida cristata"
"319","Ciconia nigra","Lullula arborea"
"320","Ciconia nigra","Alauda arvensis"
"321","Ciconia nigra","Eremophila alpestris"
"322","Ciconia nigra","Motacilla alba"
"323","Ciconia nigra","Motacilla flava"
"324","Ciconia nigra","Cisticola juncidis"
"325","Ciconia nigra","Galerida theklae"
"326","Ciconia nigra","Vanellus gregarius"
"327","Ciconia nigra","Cursorius cursor"
"328","Ciconia ciconia","Cygnus olor"
"329","Ciconia ciconia","Cygnus cygnus"
"330","Ciconia ciconia","Cygnus columbianus"
"331","Ciconia ciconia","Anser fabalis"
"332","Ciconia ciconia","Anser brachyrhynchus"
"333","Ciconia ciconia","Anser albifrons"
