"","Species","Class","Order","Family","Genus"
"133","Thryonomys swinderianus","Mammalia","Rodentia","Thryonomyidae","Thryonomys"
"134","Thryonomys gregorianus","Mammalia","Rodentia","Thryonomyidae","Thryonomys"
"135","Dendromus melanotis","Mammalia","Rodentia","Nesomyidae","Dendromus"
"136","Mus minutoides","Mammalia","Rodentia","Muridae","Mus"
"137","Mus musculus","Mammalia","Rodentia","Muridae","Mus"
"138","Graphiurus murinus","Mammalia","Rodentia","Gliridae","Graphiurus"
"139","Zelotomys hildegardeae","Mammalia","Rodentia","Muridae","Zelotomys"
"140","Mastomys natalensis","Mammalia","Rodentia","Muridae","Mastomys"
"141","Saccostomus campestris","Mammalia","Rodentia","Nesomyidae","Saccostomus"
"142","Gerbilliscus robustus","Mammalia","Rodentia","Muridae","Gerbilliscus"
"143","Elephantulus rufescens","Mammalia","Macroscelidea","Macroscelididae","Elephantulus"
"144","Xenopus muelleri","Amphibia","Anura","Pipidae","Xenopus"
"145","Hoplobatrachus occipitalis","Amphibia","Anura","Dicroglossidae","Hoplobatrachus"
"146","Pyxicephalus adspersus","Amphibia","Anura","Pyxicephalidae","Pyxicephalus"
"147","Anas capensis","Aves","Anseriformes","Anatidae","Anas"
"148","Uraeginthus bengalus","Aves","Passeriformes","Estrildidae","Uraeginthus"
"149","Uraeginthus ianthinogaster","Aves","Passeriformes","Estrildidae","Uraeginthus"
"150","Pytilia melba","Aves","Passeriformes","Estrildidae","Pytilia"
"151","Agapornis fischeri","Aves","Psittaciformes","Psittacidae","Agapornis"
"152","Histurgops ruficauda","Aves","Passeriformes","Passeridae","Histurgops"
"153","Poicephalus meyeri","Aves","Psittaciformes","Psittacidae","Poicephalus"
"154","Streptopelia capicola","Aves","Columbiformes","Columbidae","Streptopelia"
"155","Treron calvus","Aves","Columbiformes","Columbidae","Treron"
"156","Columba guinea","Aves","Columbiformes","Columbidae","Columba"
"157","Alopochen aegyptiaca","Aves","Anseriformes","Anatidae","Alopochen"
"158","Lygodactylus capensis","Reptilia","Squamata","Gekkonidae","Lygodactylus"
"159","Hemidactylus squamulatus","Reptilia","Squamata","Gekkonidae","Hemidactylus"
"160","Lygodactylus manni","Reptilia","Squamata","Gekkonidae","Lygodactylus"
"161","Chamaeleo dilepis","Reptilia","Squamata","Chamaeleonidae","Chamaeleo"
"162","Chamaeleo anchietae","Reptilia","Squamata","Chamaeleonidae","Chamaeleo"
"163","Hemidactylus brookii","Reptilia","Squamata","Gekkonidae","Hemidactylus"
"164","Hemidactylus mabouia","Reptilia","Squamata","Gekkonidae","Hemidactylus"
"165","Homopholis fasciata","Reptilia","Squamata","Gekkonidae","Homopholis"
"166","Chondrodactylus turneri","Reptilia","Squamata","Gekkonidae","Chondrodactylus"
"167","Nucras boulengeri","Reptilia","Squamata","Lacertidae","Nucras"
"168","Heliobolus spekii","Reptilia","Squamata","Lacertidae","Heliobolus"
"169","Eumecia anchietae","Reptilia","Squamata","Scincidae","Eumecia"
"170","Agama mwanzae","Reptilia","Squamata","Agamidae","Agama"
"171","Acanthocercus atricollis","Reptilia","Squamata","Agamidae","Acanthocercus"
"172","Trachylepis varia","Reptilia","Squamata","Scincidae","Trachylepis"
"173","Mochlus sundevallii","Reptilia","Squamata","Scincidae","Mochlus"
"175","Trachylepis striata","Reptilia","Squamata","Scincidae","Trachylepis"
"177","Pelomys fallax","Mammalia","Rodentia","Muridae","Pelomys"
"178","Petrodromus tetradactylus","Mammalia","Macroscelidea","Macroscelididae","Petrodromus"
"179","Psammophis angolensis","Reptilia","Squamata","Psammophiidae","Psammophis"
"180","Boaedon mendesi","Reptilia","Squamata","Lamprophiidae","Boaedon"
"181","Elapsoidea loveridgei","Reptilia","Squamata","Elapidae","Elapsoidea"
"182","Causus resimus","Reptilia","Squamata","Viperidae","Causus"
"183","Crotaphopeltis hotamboeia","Reptilia","Squamata","Colubridae","Crotaphopeltis"
"184","Dasypeltis scabra","Reptilia","Squamata","Colubridae","Dasypeltis"
"185","Philothamnus semivariegatus","Reptilia","Squamata","Colubridae","Philothamnus"
"186","Philothamnus battersbyi","Reptilia","Squamata","Colubridae","Philothamnus"
"187","Telescopus semiannulatus","Reptilia","Squamata","Colubridae","Telescopus"
"188","Glaucidium perlatum","Aves","Strigiformes","Strigidae","Glaucidium"
"189","Coracias caudatus","Aves","Coraciiformes","Coraciidae","Coracias"
"190","Falco ardosiaceus","Aves","Falconiformes","Falconidae","Falco"
"191","Elanus caeruleus","Aves","Accipitriformes","Accipitridae","Elanus"
"192","Kaupifalco monogrammicus","Aves","Accipitriformes","Accipitridae","Kaupifalco"
"193","Melierax metabates","Aves","Accipitriformes","Accipitridae","Melierax"
"194","Buteo augur","Aves","Accipitriformes","Accipitridae","Buteo"
"195","Pterocles gutturalis","Aves","Pteroclidiformes","Pteroclididae","Pterocles"
"196","Poecilogale albinucha","Mammalia","Carnivora","Mustelidae","Poecilogale"
"197","Tockus nasutus","Aves","Bucerotiformes","Bucerotidae","Tockus"
"198","Balearica regulorum","Aves","Gruiformes","Gruidae","Balearica"
"199","Amaurornis flavirostra","Aves","Gruiformes","Rallidae","Amaurornis"
"200","Gallinula chloropus","Aves","Gruiformes","Rallidae","Gallinula"
"201","Francolinus coqui","Aves","Galliformes","Phasianidae","Francolinus"
"202","Francolinus rufopictus","Aves","Galliformes","Phasianidae","Francolinus"
"203","Rhamphiophis oxyrhynchus","Reptilia","Squamata","Psammophiidae","Rhamphiophis"
"204","Psammophis mossambicus","Reptilia","Squamata","Psammophiidae","Psammophis"
"205","Naja nigricollis","Reptilia","Squamata","Elapidae","Naja"
"206","Dispholidus typus","Reptilia","Squamata","Colubridae","Dispholidus"
"207","Bitis arietans","Reptilia","Squamata","Viperidae","Bitis"
"208","Leptotyphlops scutifrons","Reptilia","Squamata","Leptotyphlopidae","Leptotyphlops"
"209","Duberria lutrix","Reptilia","Squamata","Pseudoxyrhophiidae","Duberria"
