"","Consumer_Class","Consumer_Order","Consumer_Family","Consumer_Genus","Consumer_Species","Resource_Class","Resource_Order","Resource_Family","Resource_Genus","Resource_Species"
"67","Aves","Passeriformes","Alaudidae","Mirafra","Mirafra africana","Reptilia","Squamata","Lacertidae","Nucras","Nucras boulengeri"
"68","Aves","Passeriformes","Alaudidae","Mirafra","Mirafra africana","Reptilia","Squamata","Scincidae","Eumecia","Eumecia anchietae"
"69","Aves","Passeriformes","Alaudidae","Mirafra","Mirafra africana","Reptilia","Squamata","Scincidae","Mochlus","Mochlus sundevallii"
"70","Aves","Passeriformes","Alaudidae","Mirafra","Mirafra africana","Reptilia","Squamata","Scincidae","Trachylepis","Trachylepis maculilabris"
"71","Aves","Passeriformes","Alaudidae","Mirafra","Mirafra africana","Reptilia","Squamata","Scincidae","Trachylepis","Trachylepis striata"
"72","Aves","Passeriformes","Alaudidae","Mirafra","Mirafra africana","Reptilia","Squamata","Scincidae","Trachylepis","Trachylepis varia"
"73","Aves","Passeriformes","Alaudidae","Mirafra","Mirafra rufocinnamomea","Reptilia","Squamata","Agamidae","Acanthocercus","Acanthocercus atricollis"
"74","Aves","Passeriformes","Alaudidae","Mirafra","Mirafra rufocinnamomea","Reptilia","Squamata","Agamidae","Agama","Agama mwanzae"
"75","Aves","Passeriformes","Alaudidae","Mirafra","Mirafra rufocinnamomea","Reptilia","Squamata","Chamaeleonidae","Chamaeleo","Chamaeleo anchietae"
"76","Aves","Passeriformes","Alaudidae","Mirafra","Mirafra rufocinnamomea","Reptilia","Squamata","Chamaeleonidae","Chamaeleo","Chamaeleo dilepis"
"77","Aves","Passeriformes","Alaudidae","Mirafra","Mirafra rufocinnamomea","Reptilia","Squamata","Gekkonidae","Chondrodactylus","Chondrodactylus turneri"
"78","Aves","Passeriformes","Alaudidae","Mirafra","Mirafra rufocinnamomea","Reptilia","Squamata","Gekkonidae","Hemidactylus","Hemidactylus brookii"
"79","Aves","Passeriformes","Alaudidae","Mirafra","Mirafra rufocinnamomea","Reptilia","Squamata","Gekkonidae","Hemidactylus","Hemidactylus mabouia"
"80","Aves","Passeriformes","Alaudidae","Mirafra","Mirafra rufocinnamomea","Reptilia","Squamata","Gekkonidae","Hemidactylus","Hemidactylus squamulatus"
"81","Aves","Passeriformes","Alaudidae","Mirafra","Mirafra rufocinnamomea","Reptilia","Squamata","Gekkonidae","Homopholis","Homopholis fasciata"
