"","Predator","Prey"
"207","Ardea cinerea","Bufotes boulengeri"
"208","Ardea cinerea","Bufotes variabilis"
"209","Ardea cinerea","Triturus macedonicus"
"210","Ardea cinerea","Acomys cilicicus"
"211","Ardea cinerea","Acomys minous"
"212","Ardea cinerea","Acomys nesiotes"
"213","Ardea cinerea","Allocricetulus eversmanni"
"214","Ardea cinerea","Apodemus agrarius"
"215","Ardea cinerea","Apodemus alpicola"
"216","Ardea cinerea","Apodemus epimelas"
"217","Ardea cinerea","Apodemus flavicollis"
"218","Ardea cinerea","Apodemus hyrcanicus"
"219","Ardea cinerea","Apodemus mystacinus"
"220","Ardea cinerea","Apodemus ponticus"
"221","Ardea cinerea","Apodemus sylvaticus"
"222","Ardea cinerea","Apodemus uralensis"
"223","Ardea cinerea","Apodemus witherbyi"
"224","Ardea cinerea","Arvicola amphibius"
"225","Ardea cinerea","Arvicola sapidus"
"226","Ardea cinerea","Arvicola scherman"
"227","Ardea cinerea","Chionomys gud"
"228","Ardea cinerea","Chionomys nivalis"
"229","Ardea cinerea","Chionomys roberti"
"230","Ardea cinerea","Cricetulus migratorius"
"231","Ardea cinerea","Cricetus cricetus"
"232","Ardea cinerea","Crocidura arispa"
"233","Ardea cinerea","Crocidura armenica"
"234","Ardea cinerea","Crocidura canariensis"
"235","Ardea cinerea","Crocidura caspica"
"236","Ardea cinerea","Crocidura leucodon"
"237","Ardea cinerea","Crocidura ichnusae"
"238","Ardea cinerea","Crocidura russula"
"239","Ardea cinerea","Crocidura serezkyensis"
"240","Ardea cinerea","Crocidura sicula"
"241","Ardea cinerea","Crocidura suaveolens"
"242","Ardea cinerea","Crocidura zimmermanni"
"243","Ardea cinerea","Desmana moschata"
"244","Ardea cinerea","Dicrostonyx torquatus"
"245","Ardea cinerea","Dinaromys bogdanovi"
"246","Ardea cinerea","Diplomesodon pulchellum"
"247","Ardea cinerea","Ellobius lutescens"
"248","Ardea cinerea","Ellobius talpinus"
"249","Ardea cinerea","Galemys pyrenaicus"
"250","Ardea cinerea","Dipodillus dasyurus"
"251","Ardea cinerea","Lagurus lagurus"
"252","Ardea cinerea","Lemmus lemmus"
"253","Ardea cinerea","Lemmus sibiricus"
"254","Ardea cinerea","Meriones crassus"
"255","Ardea cinerea","Meriones dahli"
"256","Ardea cinerea","Meriones libycus"
"257","Ardea cinerea","Meriones meridianus"
"258","Ardea cinerea","Meriones persicus"
"259","Ardea cinerea","Meriones tamariscinus"
"260","Ardea cinerea","Meriones tristrami"
"261","Ardea cinerea","Meriones vinogradovi"
"262","Ardea cinerea","Mesocricetus auratus"
"263","Ardea cinerea","Mesocricetus brandti"
"264","Ardea cinerea","Mesocricetus newtoni"
"265","Ardea cinerea","Mesocricetus raddei"
"266","Ardea cinerea","Micromys minutus"
"267","Ardea cinerea","Microtus agrestis"
"268","Ardea cinerea","Microtus anatolicus"
"269","Ardea cinerea","Microtus arvalis"
"270","Ardea cinerea","Microtus bavaricus"
"271","Ardea cinerea","Microtus brachycercus"
"272","Ardea cinerea","Microtus cabrerae"
"273","Ardea cinerea","Microtus daghestanicus"
"274","Ardea cinerea","Microtus dogramacii"
"275","Ardea cinerea","Microtus duodecimcostatus"
"276","Ardea cinerea","Microtus felteni"
"277","Ardea cinerea","Microtus gerbei"
"278","Ardea cinerea","Microtus gregalis"
"279","Ardea cinerea","Microtus guentheri"
"280","Ardea cinerea","Microtus levis"
"281","Ardea cinerea","Microtus liechtensteini"
"282","Ardea cinerea","Microtus lusitanicus"
"283","Ardea cinerea","Microtus majori"
"284","Ardea cinerea","Microtus middendorffi"
"285","Ardea cinerea","Microtus multiplex"
"286","Ardea cinerea","Microtus oeconomus"
"287","Ardea cinerea","Microtus savii"
"288","Ardea cinerea","Microtus schidlovskii"
"289","Ardea cinerea","Microtus socialis"
"290","Ardea cinerea","Microtus subterraneus"
"291","Ardea cinerea","Microtus tatricus"
"292","Ardea cinerea","Microtus thomasi"
"293","Ardea cinerea","Mus cypriacus"
"294","Ardea cinerea","Mus macedonicus"
