"","role","sourceFW","estimate_(Intercept)_serengeti","std.error_(Intercept)_serengeti","estimate_(Intercept)_pyrenees","std.error_(Intercept)_pyrenees","insample","estimate_empirical_europe","estimate_(Intercept)_arctic","std.error_(Intercept)_arctic","estimate_empirical_serengeti","std.error_empirical_serengeti","estimate_empirical_pyrenees","std.error_empirical_pyrenees","estimate_(Intercept)_europe","std.error_(Intercept)_europe","estimate_empirical_arctic","std.error_empirical_arctic","r.squared_serengeti","r.squared_pyrenees","std.error_empirical_europe","r.squared_arctic"
"80","position10","serengeti",607.956258594358,35.3011636866262,NA,NA,"within food web",NA,NA,NA,0.170239047522084,0.0115328534755138,NA,NA,NA,NA,NA,NA,0.424005470839053,NA,NA,NA
"81","position11","arctic",NA,NA,NA,NA,"within food web",NA,338.585526662753,36.1084725482919,NA,NA,NA,NA,NA,NA,0.621414951234096,0.141037983257559,NA,NA,NA,0.0922611326541668
"82","position11","arctic",753.915734058265,76.452200021514,448.278023363969,39.679331549048,"between food webs",0.197221541672478,NA,NA,0.232388172901323,0.0288439439095499,0.20422088372459,0.106283187393268,11632.7072712198,576.687337505542,NA,NA,0.17985336047794,0.0186759150540272,0.0190278539939136,NA
"83","position11","europe",602.459853515909,85.609375957451,360.639548140022,37.297422712316,"between food webs",NA,369.591876627044,45.9069632665785,0.249336947816948,0.0322987701799741,0.317912304358298,0.0999031186429882,NA,NA,0.799541313662234,0.179310423833016,0.167589608777542,0.0496086411992139,NA,0.0942823125610041
"84","position11","europe",NA,NA,NA,NA,"within food web",0.143038220132719,NA,NA,NA,NA,NA,NA,9154.03621207367,517.050392210031,NA,NA,NA,NA,0.0170601272658838,NA
"85","position11","pyrenees",657.706487589625,79.9510832810991,NA,NA,"between food webs",0.282504008738958,430.971522758028,49.3525927073235,0.238921813370624,0.0301640052348896,NA,NA,10938.7046159706,617.144110431348,1.19075118563543,0.192768889203592,0.174886262458586,NA,0.0203627290956056,0.166508357819979
"86","position11","pyrenees",NA,NA,473.718875846512,47.6280958457464,"within food web",NA,NA,NA,NA,NA,0.0491838246694857,0.127574372811718,NA,NA,NA,NA,NA,0.000765567295784259,NA,NA
"87","position11","serengeti",NA,NA,344.882426479493,25.4453860087086,"between food webs",0.116093038411857,285.409566567197,25.1035495364253,NA,NA,0.212898396707841,0.068156811717321,10308.0986215967,342.540215201309,0.521565522633499,0.0980532752940038,NA,0.0478865153241285,0.011302147243404,0.12902292858861
"88","position11","serengeti",341.906212997248,39.1866232067642,NA,NA,"within food web",NA,NA,NA,0.131646524736296,0.0147843588734203,NA,NA,NA,NA,NA,NA,0.211274843104421,NA,NA,NA
"89","position12","arctic",NA,NA,NA,NA,"within food web",NA,31.6732460732984,3.10350870722312,NA,NA,NA,NA,NA,NA,2.67859645590013,2.34516429011004,NA,NA,NA,0.00678388418751381
"90","position12","arctic",118.764883914881,8.88754507187529,54.4176530612245,4.81628192035922,"between food webs",0.348280612637492,NA,NA,-0.0431893995048599,0.0294362340811593,NA,NA,975.966849431287,44.7884267200491,NA,NA,0.00722023018944171,0,0.468477757376773,NA
"91","position12","europe",46.9279827818298,5.20707635402893,28.9532653061225,2.90565482752496,"between food webs",NA,28.233612565445,3.30083410304277,0.0433879056619512,0.0172462381001825,NA,NA,NA,NA,4.27126057188886,2.49427309419718,0.0209347861278566,0,NA,0.0151207642925653
"92","position12","europe",NA,NA,NA,NA,"within food web",1.38923550797899,NA,NA,NA,NA,NA,NA,389.492171330819,21.3257279018046,NA,NA,NA,NA,0.223062739941979,NA
"93","position12","pyrenees",68.3528830216482,6.34693751743217,NA,NA,"between food webs",2.87527346895549,59.6132984293193,6.17856332798285,0.0479576745500437,0.0210215461019546,NA,NA,1085.79280507712,55.6605980160451,7.57397704389853,4.66882726871213,0.0172792676034811,NA,0.582198439248466,0.0135911420550615
"94","position12","pyrenees",NA,NA,50.6694897959183,5.16062290563603,"within food web",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"95","position12","serengeti",NA,NA,43.7586734693877,2.91714638764797,"between food webs",0.986275652589796,26.6067539267016,1.5598831204817,NA,NA,NA,NA,1140.02013727233,30.0351269327122,-0.749750302053969,1.17872464233306,NA,0,0.314161267505855,0.00211376274184664
"96","position12","serengeti",24.7617890908361,2.57078304960759,NA,NA,"within food web",NA,NA,NA,0.057153287605719,0.00851463154427169,NA,NA,NA,NA,NA,NA,0.132106830992393,NA,NA,NA
"97","position13","arctic",NA,NA,NA,NA,"within food web",NA,15.3192222222222,0.434174050942632,NA,NA,NA,NA,NA,NA,3.12847008547008,1.67290331590606,NA,NA,NA,0.0179807971763787
"98","position13","arctic",54.7687615181057,1.40841644844437,26.990306122449,0.807965754167009,"between food webs",12.1757194430966,NA,NA,0.171144349761412,0.0213737953956235,NA,NA,435.285094654415,6.65712275983123,NA,NA,0.178041085971101,0,0.837012183264256,NA
"99","position13","europe",22.8412027268402,0.709144982288495,14.3871428571429,0.507690175692842,"between food webs",NA,13.7027777777778,0.46747898286368,0.0756867173494835,0.010761816772311,NA,NA,NA,NA,1.3541452991453,1.80122957337304,0.143175389481203,0,NA,0.00295036540308369
"100","position13","europe",NA,NA,NA,NA,"within food web",-3.89495749231263,NA,NA,NA,NA,NA,NA,219.144291940052,3.12420814177802,NA,NA,NA,NA,0.392812386381153,NA
"101","position13","pyrenees",30.3773137056629,0.952514236844002,NA,NA,"between food webs",17.6195614465631,28.5286666666667,0.855613544546434,0.175019262884287,0.0144551311028844,NA,NA,485.146950133877,8.64190281372512,6.42594871794871,3.29673948200786,0.331221348620225,NA,1.08656219851006,0.0195037368082741
"102","position13","pyrenees",NA,NA,25.2014285714286,0.703699025264376,"within food web",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"103","position13","serengeti",NA,NA,21.769047208865,1.19814217116339,"between food webs",24.3905853854147,13.0084196195539,0.940341635411658,NA,NA,NA,NA,461.66481331889,14.4597558446891,5.33619576506149,3.62320280668396,NA,0,1.8180514684302,0.0112289869812328
"104","position13","serengeti",10.9120527195359,0.748147555145472,NA,NA,"within food web",NA,NA,NA,0.0985292238802417,0.0113537106067438,NA,NA,NA,NA,NA,NA,0.202823122772376,NA,NA,NA
"105","position14","arctic",NA,NA,NA,NA,"within food web",NA,11.3090052356021,0.770739610319003,NA,NA,NA,NA,NA,NA,8.15099476439788,7.57131535978177,NA,NA,NA,0.00603139617563461
"106","position14","arctic",47.5036062934285,2.75561073400304,19.995,1.22068148327938,"between food webs",1.61032210046241,NA,NA,-0.00053608971639709,0.00392842995095183,NA,NA,304.946874664054,9.56546154955835,NA,NA,6.29097403213395e-05,0,1.79363039036305,NA
"107","position14","europe",12.1503853981973,0.9589863275855,9.22826530612245,0.799644691672523,"between food webs",NA,7.08246073298429,0.646311932336065,-0.00227671060137977,0.00136714179740745,NA,NA,NA,NA,12.0325392670157,6.34900736252666,0.00928211255984598,0,NA,0.0184577410532693
"108","position14","europe",NA,NA,NA,NA,"within food web",6.3699870146323,NA,NA,NA,NA,NA,NA,92.8773993498266,4.15123572942094,NA,NA,NA,NA,0.778402853147645,NA
"109","position14","pyrenees",29.1919809937618,1.40155342759677,NA,NA,"between food webs",7.40799091024262,17.4112041884817,1.07681718717677,-0.00133877408286554,0.00199807048030765,NA,NA,355.188102759165,9.64358187162935,18.9287958115183,10.5780504852658,0.00151440863292638,NA,1.80827881930143,0.0164884861319463
"110","position14","pyrenees",NA,NA,17.2377551020408,0.976073459602916,"within food web",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"111","position14","serengeti",NA,NA,42.6326020408163,2.6937712800815,"between food webs",-3.34913789827073,45.2816753926701,3.85982801266121,NA,NA,NA,NA,1308.52192609199,36.0901090156504,-43.67667539267,37.9167941119338,NA,0,6.76729669411246,0.00689915511760497
"112","position14","serengeti",19.0315402524808,1.71447530206449,NA,NA,"within food web",NA,NA,NA,0.0224201075155545,0.00244417545761741,NA,NA,NA,NA,NA,NA,0.221342727418389,NA,NA,NA
