"","Source","Target","species","auc","aucpr","prevalence"
"37","arctic","arctic","Acanthis flammea",0.970946579194002,0.422841651147017,0.0275689223057644
"38","arctic","arctic","Spinus pinus",0.987405541561713,0.791666666666667,0.0050125313283208
"39","arctic","arctic","Spinus tristis",0.970253164556962,0.48139880952381,0.0100250626566416
"40","arctic","arctic","Haemorhous purpureus",0.994303797468354,0.741666666666667,0.0100250626566416
"41","arctic","arctic","Castor canadensis",0.99238578680203,0.655952380952381,0.012531328320802
"42","arctic","arctic","Catharus guttatus",0.984006734006734,0.494444444444444,0.0075187969924812
"43","arctic","arctic","Catharus minimus",0.97979797979798,0.433838383838384,0.0075187969924812
"44","arctic","arctic","Catharus ustulatus",0.987974683544304,0.419642857142857,0.0100250626566416
"45","arctic","arctic","Certhia americana",0.98989898989899,0.512121212121212,0.0075187969924812
"46","arctic","arctic","Charadrius semipalmatus",0.980203045685279,0.630769230769231,0.012531328320802
"47","arctic","arctic","Charadrius vociferus",0.989925023430178,0.787229437229437,0.0275689223057644
"48","arctic","arctic","Circus cyaneus",0.889925645137775,0.439803655589079,0.0952380952380952
"49","arctic","arctic","Clangula hyemalis",0.992007672634271,0.807783882783883,0.0200501253132832
"50","arctic","arctic","Colaptes auratus",0.989238740534077,0.803466643964381,0.0325814536340852
"51","arctic","arctic","Condylura cristata",0.980462724935733,0.555786089620186,0.025062656641604
"52","arctic","arctic","Contopus cooperi",0.9321608040201,0.517857142857143,0.0025062656641604
"53","arctic","arctic","Corvus brachyrhynchos",0.824256559766764,0.366083354702238,0.12280701754386
"54","arctic","arctic","Corvus corax",0.883982231512935,0.434656393686994,0.107769423558897
"55","arctic","arctic","Coturnicops noveboracensis",0.977386934673367,0.55,0.0025062656641604
"56","arctic","arctic","Cygnus columbianus",0.979591836734694,0.552359693877551,0.0175438596491228
"57","arctic","arctic","Setophaga coronata",0.976649746192893,0.665201465201465,0.012531328320802
"58","arctic","arctic","Setophaga magnolia",0.989949748743719,0.6,0.0025062656641604
"59","arctic","arctic","Setophaga palmarum",0.967336683417085,0.535714285714286,0.0025062656641604
"60","arctic","arctic","Setophaga petechia",0.977621483375959,0.426038816256208,0.0200501253132832
"61","arctic","arctic","Setophaga striata",1,1,0.0025062656641604
"62","arctic","arctic","Setophaga virens",0.992443324937028,0.8125,0.0050125313283208
"63","arctic","arctic","Dicrostonyx hudsonius",0.979406307977737,0.691162879602729,0.0350877192982456
"64","arctic","arctic","Dolichonyx oryzivorus",0.982233502538071,0.600505050505051,0.012531328320802
"65","arctic","arctic","Dryobates pubescens",0.991772151898734,0.528787878787879,0.0100250626566416
"66","arctic","arctic","Empidonax minimus",0.980639730639731,0.357983193277311,0.0075187969924812
"67","arctic","arctic","Eremophila alpestris",0.983547557840617,0.732349473830204,0.025062656641604
"68","arctic","arctic","Erethizon dorsatus",0.899781341107871,0.359271046818356,0.0175438596491228
"69","arctic","arctic","Euphagus carolinus",0.978589420654912,0.527777777777778,0.0050125313283208
"70","arctic","arctic","Falcipennis canadensis",0.971883786316776,0.548422942889346,0.0275689223057644
"71","arctic","arctic","Falco columbarius",0.900204359673025,0.341633528738856,0.0802005012531328
"72","arctic","arctic","Falco peregrinus",0.877679449360865,0.458671685229672,0.150375939849624
"73","arctic","arctic","Falco sparverius",0.945257452574526,0.575576351216902,0.075187969924812
"74","arctic","arctic","Gallinago delicata",0.882233502538071,0.154865495220876,0.012531328320802
"75","arctic","arctic","Gavia immer",0.900507614213198,0.349164824367477,0.012531328320802
"76","arctic","arctic","Gavia pacifica",0.990355329949239,0.468888888888889,0.012531328320802
"77","arctic","arctic","Gavia stellata",0.970558375634518,0.595438596491228,0.012531328320802
"78","arctic","arctic","Geothlypis trichas",0.991582491582492,0.712121212121212,0.0075187969924812
