"","Source","Target","species","auc","aucpr","aucprg","prevalence","mntd","fmpd"
"144","Arctic","Euro","Anthus spinoletta",0.918368617683686,0.37613346420204,0.976244397484085,0.0339655932951037,3.39076253979206,0.189860557060051
"145","Arctic","Euro","Anthus trivialis",0.927055448250935,0.427301386031669,0.983677939724373,0.0357300397000441,4.81913526728603,0.187860490415382
"146","Arctic","Euro","Apus affinis",0.744812362030905,0.257793858284054,-14.5323783069943,0.000882223202470225,12.8817483942679,0.188074907001458
"147","Arctic","Euro","Apus apus",0.898459383753501,0.273890971106748,0.996893559444309,0.00264666960741068,12.8817483942735,0.226418730903809
"148","Arctic","Euro","Apus caffer",0.695805739514349,0.25731869594145,-16.2829474828102,0.000882223202470225,12.8817483942711,0.188971306065555
"149","Arctic","Euro","Apus pallidus",0.829927087936368,0.395631439288156,0.999276857816383,0.00176444640494045,12.8817483942705,0.208390939370333
"150","Arctic","Euro","Apus unicolor",0.973521624007061,0.508196721311475,-29.0264783759929,0.000441111601235112,12.8817483942607,0.195656706224084
"151","Arctic","Euro","Aquila adalberti",0.882072782554991,0.184630374562599,0.825646957982542,0.0427878253198059,4.21616978907075,0.207097168684181
"152","Arctic","Euro","Aquila chrysaetos",0.868655249619717,0.456737708516992,0.843815253614167,0.131010145566828,0,0.23442975385162
"153","Arctic","Euro","Aquila clanga",0.864839293920472,0.258662579349059,0.778648276434572,0.0780767534186149,4.63084485124423,0.204067098614682
"154","Arctic","Euro","Aquila fasciata",0.893647889989276,0.292738335566915,0.823480809132693,0.0732245258050287,3.83791527965121,0.196311920295525
"155","Arctic","Euro","Aquila heliaca",0.892687168946162,0.357053880949153,0.875281852365424,0.0802823114247905,4.21616978906979,0.206939077338489
"156","Arctic","Euro","Aquila nipalensis",0.762591990042146,0.273692969448266,0.704383223954736,0.121746801940891,4.21616978906524,0.227603207942444
"157","Arctic","Euro","Aquila pomarina",0.828866364508427,0.48952907778528,0.747168117034295,0.208645787384208,4.63084485124423,0.207554257407903
"158","Arctic","Euro","Ardea alba",0.673855433089836,0.136689996275066,-0.086493466233409,0.100573445081606,11.6730786696455,0.186699719870858
"159","Arctic","Euro","Ardea cinerea",0.682369112702101,0.137551671347971,-0.279972774760571,0.0961623290692545,11.6730786696497,0.231192476598071
"160","Arctic","Euro","Ardea purpurea",0.680132825604062,0.132857466771381,-0.0960038841730042,0.0948389942655492,11.6730786696443,0.183954716277398
"161","Arctic","Euro","Ardeola ralloides",0.810895971699992,0.115225734947964,0.74367733071837,0.0344067048963388,11.6730786696554,0.185453053998992
"162","Arctic","Euro","Arenaria interpres",0.974812059211036,0.257085872120581,0.990289291004207,0.0101455668284076,8.21972443304164,0.196515814846085
"163","Arctic","Euro","Asio flammeus",0.847503551708482,0.258764233331023,0.74041686948758,0.0873400970445523,0,0.266137395616256
"164","Arctic","Euro","Asio otus",0.852857385334391,0.464217561690089,0.786836183531671,0.15791795324217,0,0.299765795942787
"165","Arctic","Euro","Athene noctua",0.860977668833646,0.29968389407267,0.743408077389015,0.101014556682841,7.6876406853358,0.273420227605985
"166","Arctic","Euro","Aythya ferina",0.981995498874719,0.396598631814855,0.961157229596718,0.0136744596382885,1.89622610343849,0.274566896252339
"167","Arctic","Euro","Aythya fuligula",0.982215765161675,0.434165145652594,0.996242890038088,0.0132333480370534,1.56044028793577,0.212550983810275
"168","Arctic","Euro","Aythya marila",0.980769230769231,0.368682305754857,0.987237493406982,0.0114689016321129,0,0.195676128955302
"169","Arctic","Euro","Aythya nyroca",0.984755291005291,0.376796747518223,0.987556302322626,0.011910013233348,2.10077544986966,0.251416314137262
"170","Arctic","Euro","Bombycilla garrulus",0.816337413646831,0.0787746873136,0.860963735927372,0.0163211292456992,9.09347102963357,0.234084038816354
"171","Arctic","Euro","Botaurus stellaris",0.741480029861889,0.129167027221332,0.309654437413656,0.0670489633877371,11.6730786696833,0.182360586795577
"172","Arctic","Euro","Branta bernicla",0.982425592225147,0.320993409931134,0.965675221475128,0.00970445522717247,3.96013150463411,0.263241883271403
"173","Arctic","Euro","Branta leucopsis",0.982182628062361,0.304915566567905,0.951176188488422,0.00970445522717247,3.96013150465515,0.258836972622483
"174","Arctic","Euro","Bubo bubo",0.889546528709204,0.534445406477456,0.820856429428583,0.187472430524923,5.06091657589351,0.322257739223885
"175","Arctic","Euro","Bubo scandiacus",0.864334481383019,0.457033376391048,0.826439765654648,0.150419056021173,0,0.277280635173665
"176","Arctic","Euro","Bubulcus ibis",0.652001805672302,0.189768802018612,-0.0716661346250082,0.146449051610057,11.6730786696543,0.171245776996759
"177","Arctic","Euro","Bucanetes githagineus",0.911656094245582,0.23778509934965,0.929189504571919,0.0264666960741067,5.85193978876396,0.274021786497083
"178","Arctic","Euro","Bucanetes mongolicus",0.915060267823967,0.336919935355749,0.986408098102863,0.0269078076753419,5.85193978876336,0.234274206931399
"179","Arctic","Euro","Bucephala clangula",0.768228033390038,0.10768282226221,0.824515094307098,0.0304367004852228,0,0.187875032068533
"180","Arctic","Euro","Bucephala islandica",0.97607229818318,0.378381757368759,0.998841234317635,0.00838112042346714,1.49399341644399,0.188123431294649
"181","Arctic","Euro","Burhinus oedicnemus",0.613975551591955,0.131054527882658,0.512592230395812,0.086457873842082,11.4176691352154,0.192817849209532
"182","Arctic","Euro","Buteo buteo",0.784580189679726,0.35065711405819,0.660103210478136,0.170269078076753,2.22917149147897,0.211694449884752
"183","Arctic","Euro","Buteo lagopus",0.840984082397004,0.294693997457932,0.65079536155642,0.117776797529775,0,0.183664179793228
"184","Arctic","Euro","Buteo rufinus",0.570693087143866,0.169627647510445,0.105787398356053,0.15615350683723,2.2291714914821,0.213798657500599
"185","Arctic","Euro","Calandrella brachydactyla",0.923559576655033,0.440413905194111,0.984864104792591,0.0357300397000441,5.32081259590537,0.182357370998873
"186","Arctic","Euro","Calandrella cheleensis",0.933844878829447,0.42694229491485,0.983506210829588,0.035288928098809,5.32081259590546,0.2518061243033
"187","Arctic","Euro","Calandrella rufescens",0.926662939242994,0.402150531520015,0.980604657516678,0.0357300397000441,5.32081259588703,0.189178093980208
