"","species","role","predicted","targetFW","sourceFW"
"181","27","position16",2.78,"Serengeti2","Arctic"
"182","27","position17",94.3,"Serengeti2","Arctic"
"183","27","position18",0.01,"Serengeti2","Arctic"
"184","27","position19",0.27,"Serengeti2","Arctic"
"185","27","position20",0.52,"Serengeti2","Arctic"
"186","27","position21",1.24,"Serengeti2","Arctic"
"187","27","position22",0.01,"Serengeti2","Arctic"
"188","27","position23",0.6,"Serengeti2","Arctic"
"189","27","position24",0.38,"Serengeti2","Arctic"
"190","27","position25",0.03,"Serengeti2","Arctic"
"191","27","position26",0.03,"Serengeti2","Arctic"
"192","27","position27",0.01,"Serengeti2","Arctic"
"193","27","position28",1.46,"Serengeti2","Arctic"
"194","27","position29",0.93,"Serengeti2","Arctic"
"195","27","position30",0,"Serengeti2","Arctic"
"196","28","indegree",6.52,"Serengeti2","Arctic"
"197","28","outdegree",24.54,"Serengeti2","Arctic"
"198","28","betweeness",28.3285202759757,"Serengeti2","Arctic"
"199","28","closeness",0.716008850740825,"Serengeti2","Arctic"
"200","28","eigen",0.432718555567583,"Serengeti2","Arctic"
"201","28","TL",3.80112260833968,"Serengeti2","Arctic"
"202","28","OI",1.91625730332496,"Serengeti2","Arctic"
"203","28","within_module_degree",-0.308765115430111,"Serengeti2","Arctic"
"204","28","among_module_conn",0.492079186149852,"Serengeti2","Arctic"
"205","28","position1",6.29,"Serengeti2","Arctic"
"206","28","position2",23.8,"Serengeti2","Arctic"
"207","28","position3",38.97,"Serengeti2","Arctic"
"208","28","position4",2.66,"Serengeti2","Arctic"
"209","28","position5",120.25,"Serengeti2","Arctic"
"210","28","position6",76.61,"Serengeti2","Arctic"
"211","28","position7",0.61,"Serengeti2","Arctic"
"212","28","position8",18.82,"Serengeti2","Arctic"
"213","28","position9",19.83,"Serengeti2","Arctic"
"214","28","position10",391.6,"Serengeti2","Arctic"
"215","28","position11",9.79,"Serengeti2","Arctic"
"216","28","position12",6.98,"Serengeti2","Arctic"
"217","28","position13",115.83,"Serengeti2","Arctic"
"218","28","position14",20.25,"Serengeti2","Arctic"
"219","28","position15",0.08,"Serengeti2","Arctic"
"220","28","position16",15.63,"Serengeti2","Arctic"
"221","28","position17",64.32,"Serengeti2","Arctic"
"222","28","position18",2.15,"Serengeti2","Arctic"
"223","28","position19",4,"Serengeti2","Arctic"
"224","28","position20",0.78,"Serengeti2","Arctic"
"225","28","position21",5.84,"Serengeti2","Arctic"
"226","28","position22",0.12,"Serengeti2","Arctic"
"227","28","position23",2.49,"Serengeti2","Arctic"
"228","28","position24",2.33,"Serengeti2","Arctic"
"229","28","position25",1.16,"Serengeti2","Arctic"
"230","28","position26",0.65,"Serengeti2","Arctic"
"231","28","position27",0.84,"Serengeti2","Arctic"
"232","28","position28",10.88,"Serengeti2","Arctic"
"233","28","position29",2.68,"Serengeti2","Arctic"
"234","28","position30",0.14,"Serengeti2","Arctic"
"235","29","indegree",0.69,"Serengeti2","Arctic"
"236","29","outdegree",20.01,"Serengeti2","Arctic"
"237","29","betweeness",5.6082214149654,"Serengeti2","Arctic"
"238","29","closeness",0.646080995496639,"Serengeti2","Arctic"
"239","29","eigen",0.315699028393498,"Serengeti2","Arctic"
"240","29","TL",2.43607606807463,"Serengeti2","Arctic"
"241","29","OI",0.394334769543177,"Serengeti2","Arctic"
"242","29","within_module_degree",-1.05510383697997,"Serengeti2","Arctic"
"243","29","among_module_conn",0.497299288420048,"Serengeti2","Arctic"
"244","29","position1",1.12,"Serengeti2","Arctic"
"245","29","position2",1.49,"Serengeti2","Arctic"
"246","29","position3",55.88,"Serengeti2","Arctic"
"247","29","position4",0.07,"Serengeti2","Arctic"
"248","29","position5",89.68,"Serengeti2","Arctic"
"249","29","position6",7.49,"Serengeti2","Arctic"
"250","29","position7",0.16,"Serengeti2","Arctic"
"251","29","position8",3.49,"Serengeti2","Arctic"
"252","29","position9",11.82,"Serengeti2","Arctic"
"253","29","position10",425.95,"Serengeti2","Arctic"
"254","29","position11",0.18,"Serengeti2","Arctic"
"255","29","position12",0.1,"Serengeti2","Arctic"
"256","29","position13",88.72,"Serengeti2","Arctic"
"257","29","position14",1.93,"Serengeti2","Arctic"
"258","29","position15",0,"Serengeti2","Arctic"
"259","29","position16",3.31,"Serengeti2","Arctic"
"260","29","position17",92.74,"Serengeti2","Arctic"
"261","29","position18",0.06,"Serengeti2","Arctic"
"262","29","position19",0.24,"Serengeti2","Arctic"
"263","29","position20",0.34,"Serengeti2","Arctic"
"264","29","position21",1.03,"Serengeti2","Arctic"
"265","29","position22",0,"Serengeti2","Arctic"
"266","29","position23",0.43,"Serengeti2","Arctic"
"267","29","position24",0.43,"Serengeti2","Arctic"
"268","29","position25",0,"Serengeti2","Arctic"
"269","29","position26",0,"Serengeti2","Arctic"
"270","29","position27",0.01,"Serengeti2","Arctic"
"271","29","position28",1.47,"Serengeti2","Arctic"
"272","29","position29",0.82,"Serengeti2","Arctic"
"273","29","position30",0,"Serengeti2","Arctic"
"274","30","indegree",10.04,"Serengeti2","Arctic"
"275","30","outdegree",25.36,"Serengeti2","Arctic"
"276","30","betweeness",51.2541934363356,"Serengeti2","Arctic"
"277","30","closeness",0.723090305269806,"Serengeti2","Arctic"
"278","30","eigen",0.482713024334457,"Serengeti2","Arctic"
"279","30","TL",3.19419319570087,"Serengeti2","Arctic"
"280","30","OI",1.52833669254764,"Serengeti2","Arctic"
"281","30","within_module_degree",-0.297580210936824,"Serengeti2","Arctic"
"282","30","among_module_conn",0.552267468940137,"Serengeti2","Arctic"
"283","30","position1",10.06,"Serengeti2","Arctic"
"284","30","position2",44.8,"Serengeti2","Arctic"
"285","30","position3",31.59,"Serengeti2","Arctic"
"286","30","position4",11.43,"Serengeti2","Arctic"
"287","30","position5",119.39,"Serengeti2","Arctic"
"288","30","position6",53.26,"Serengeti2","Arctic"
"289","30","position7",3.65,"Serengeti2","Arctic"
"290","30","position8",19.06,"Serengeti2","Arctic"
"291","30","position9",22.39,"Serengeti2","Arctic"
"292","30","position10",379.58,"Serengeti2","Arctic"
"293","30","position11",37.73,"Serengeti2","Arctic"
"294","30","position12",30.1,"Serengeti2","Arctic"
"295","30","position13",107.85,"Serengeti2","Arctic"
"296","30","position14",13.13,"Serengeti2","Arctic"
"297","30","position15",1.01,"Serengeti2","Arctic"
"298","30","position16",36.05,"Serengeti2","Arctic"
"299","30","position17",50.2,"Serengeti2","Arctic"
"300","30","position18",17.27,"Serengeti2","Arctic"
"301","30","position19",5.72,"Serengeti2","Arctic"
"302","30","position20",1.8,"Serengeti2","Arctic"
"303","30","position21",3.65,"Serengeti2","Arctic"
"304","30","position22",2.48,"Serengeti2","Arctic"
"305","30","position23",5.05,"Serengeti2","Arctic"
"306","30","position24",13.84,"Serengeti2","Arctic"
"307","30","position25",7.45,"Serengeti2","Arctic"
"308","30","position26",5.03,"Serengeti2","Arctic"
"309","30","position27",6.93,"Serengeti2","Arctic"
"310","30","position28",18.36,"Serengeti2","Arctic"
"311","30","position29",5.3,"Serengeti2","Arctic"
"312","30","position30",1.03,"Serengeti2","Arctic"
"313","31","indegree",0.53,"Serengeti2","Arctic"
"314","31","outdegree",29.53,"Serengeti2","Arctic"
"315","31","betweeness",7.05901131763174,"Serengeti2","Arctic"
"316","31","closeness",0.782454791206274,"Serengeti2","Arctic"
"317","31","eigen",0.444512847262253,"Serengeti2","Arctic"
"318","31","TL",2.09738353311859,"Serengeti2","Arctic"
"319","31","OI",0.303314463743679,"Serengeti2","Arctic"
"320","31","within_module_degree",-0.711833794700495,"Serengeti2","Arctic"
"321","31","among_module_conn",0.558565971093737,"Serengeti2","Arctic"
"322","31","position1",0.56,"Serengeti2","Arctic"
"323","31","position2",2.86,"Serengeti2","Arctic"
"324","31","position3",25.61,"Serengeti2","Arctic"
"325","31","position4",0.02,"Serengeti2","Arctic"
"326","31","position5",208.74,"Serengeti2","Arctic"
"327","31","position6",6.95,"Serengeti2","Arctic"
"328","31","position7",0.07,"Serengeti2","Arctic"
"329","31","position8",0.93,"Serengeti2","Arctic"
"330","31","position9",44.51,"Serengeti2","Arctic"
"331","31","position10",512.56,"Serengeti2","Arctic"
"332","31","position11",0.11,"Serengeti2","Arctic"
"333","31","position12",0.09,"Serengeti2","Arctic"
"334","31","position13",166.88,"Serengeti2","Arctic"
"335","31","position14",4.11,"Serengeti2","Arctic"
"336","31","position15",0,"Serengeti2","Arctic"
"337","31","position16",0.73,"Serengeti2","Arctic"
"338","31","position17",41.09,"Serengeti2","Arctic"
"339","31","position18",0.04,"Serengeti2","Arctic"
"340","31","position19",0.65,"Serengeti2","Arctic"
"341","31","position20",0.03,"Serengeti2","Arctic"
"342","31","position21",0.43,"Serengeti2","Arctic"
"343","31","position22",0,"Serengeti2","Arctic"
"344","31","position23",0.2,"Serengeti2","Arctic"
"345","31","position24",0.21,"Serengeti2","Arctic"
"346","31","position25",0.02,"Serengeti2","Arctic"
"347","31","position26",0,"Serengeti2","Arctic"
"348","31","position27",0.03,"Serengeti2","Arctic"
"349","31","position28",0.88,"Serengeti2","Arctic"
"350","31","position29",0.05,"Serengeti2","Arctic"
"351","31","position30",0,"Serengeti2","Arctic"
"352","32","indegree",11.22,"Serengeti2","Arctic"
"353","32","outdegree",27.98,"Serengeti2","Arctic"
"354","32","betweeness",63.1543943445953,"Serengeti2","Arctic"
"355","32","closeness",0.756140157744701,"Serengeti2","Arctic"
"356","32","eigen",0.520654747885724,"Serengeti2","Arctic"
"357","32","TL",2.46728001118074,"Serengeti2","Arctic"
"358","32","OI",1.30461560732998,"Serengeti2","Arctic"
"359","32","within_module_degree",-0.0710617615070273,"Serengeti2","Arctic"
"360","32","among_module_conn",0.530301159361844,"Serengeti2","Arctic"
"361","32","position1",5.44,"Serengeti2","Arctic"
"362","32","position2",23.6,"Serengeti2","Arctic"
"363","32","position3",36.38,"Serengeti2","Arctic"
"364","32","position4",15.84,"Serengeti2","Arctic"
"365","32","position5",153.33,"Serengeti2","Arctic"
"366","32","position6",35.35,"Serengeti2","Arctic"
"367","32","position7",1.27,"Serengeti2","Arctic"
"368","32","position8",9.78,"Serengeti2","Arctic"
"369","32","position9",40.49,"Serengeti2","Arctic"
"370","32","position10",351.69,"Serengeti2","Arctic"
"371","32","position11",52.31,"Serengeti2","Arctic"
"372","32","position12",62.62,"Serengeti2","Arctic"
"373","32","position13",109.96,"Serengeti2","Arctic"
"374","32","position14",17.25,"Serengeti2","Arctic"
"375","32","position15",1.23,"Serengeti2","Arctic"
"376","32","position16",15.39,"Serengeti2","Arctic"
"377","32","position17",44.04,"Serengeti2","Arctic"
"378","32","position18",36.45,"Serengeti2","Arctic"
"379","32","position19",6.15,"Serengeti2","Arctic"
"380","32","position20",1.08,"Serengeti2","Arctic"
"381","32","position21",3.52,"Serengeti2","Arctic"
"382","32","position22",5.3,"Serengeti2","Arctic"
"383","32","position23",2.27,"Serengeti2","Arctic"
"384","32","position24",5.69,"Serengeti2","Arctic"
"385","32","position25",18.57,"Serengeti2","Arctic"
"386","32","position26",7.9,"Serengeti2","Arctic"
"387","32","position27",21.61,"Serengeti2","Arctic"
"388","32","position28",10.84,"Serengeti2","Arctic"
"389","32","position29",3.01,"Serengeti2","Arctic"
"390","32","position30",4.93,"Serengeti2","Arctic"
"391","33","indegree",12.17,"Serengeti2","Arctic"
"392","33","outdegree",24.87,"Serengeti2","Arctic"
"393","33","betweeness",38.4497854469974,"Serengeti2","Arctic"
"394","33","closeness",0.71949046382487,"Serengeti2","Arctic"
"395","33","eigen",0.497578780084049,"Serengeti2","Arctic"
"396","33","TL",3.96913366220347,"Serengeti2","Arctic"
"397","33","OI",2.31248507567951,"Serengeti2","Arctic"
"398","33","within_module_degree",0.174670482490752,"Serengeti2","Arctic"
"399","33","among_module_conn",0.482253591680849,"Serengeti2","Arctic"
"400","33","position1",8.69,"Serengeti2","Arctic"
"401","33","position2",38.36,"Serengeti2","Arctic"
"402","33","position3",27.09,"Serengeti2","Arctic"
"403","33","position4",5.83,"Serengeti2","Arctic"
"404","33","position5",96.97,"Serengeti2","Arctic"
"405","33","position6",133.91,"Serengeti2","Arctic"
"406","33","position7",0.82,"Serengeti2","Arctic"
"407","33","position8",26.63,"Serengeti2","Arctic"
"408","33","position9",15.22,"Serengeti2","Arctic"
"409","33","position10",330.13,"Serengeti2","Arctic"
"410","33","position11",28.74,"Serengeti2","Arctic"
"411","33","position12",22.2,"Serengeti2","Arctic"
"412","33","position13",108.37,"Serengeti2","Arctic"
"413","33","position14",37.56,"Serengeti2","Arctic"
"414","33","position15",0.16,"Serengeti2","Arctic"
"415","33","position16",31.71,"Serengeti2","Arctic"
"416","33","position17",52.68,"Serengeti2","Arctic"
"417","33","position18",7.38,"Serengeti2","Arctic"
"418","33","position19",7.51,"Serengeti2","Arctic"
"419","33","position20",0.94,"Serengeti2","Arctic"
"420","33","position21",8.53,"Serengeti2","Arctic"
"421","33","position22",0.52,"Serengeti2","Arctic"
"422","33","position23",3.43,"Serengeti2","Arctic"
"423","33","position24",5.1,"Serengeti2","Arctic"
"424","33","position25",3.62,"Serengeti2","Arctic"
"425","33","position26",1.53,"Serengeti2","Arctic"
"426","33","position27",3.41,"Serengeti2","Arctic"
"427","33","position28",25.05,"Serengeti2","Arctic"
"428","33","position29",4.85,"Serengeti2","Arctic"
"429","33","position30",0.39,"Serengeti2","Arctic"
"430","36","indegree",3.45,"Serengeti2","Arctic"
"431","36","outdegree",27.23,"Serengeti2","Arctic"
"432","36","betweeness",17.138060683225,"Serengeti2","Arctic"
"433","36","closeness",0.744473552843306,"Serengeti2","Arctic"
"434","36","eigen",0.446345746634587,"Serengeti2","Arctic"
"435","36","TL",3.29194530490613,"Serengeti2","Arctic"
"436","36","OI",1.21766176894597,"Serengeti2","Arctic"
"437","36","within_module_degree",-0.593499460330432,"Serengeti2","Arctic"
"438","36","among_module_conn",0.547506958240495,"Serengeti2","Arctic"
"439","36","position1",3.9,"Serengeti2","Arctic"
"440","36","position2",15.59,"Serengeti2","Arctic"
"441","36","position3",25.91,"Serengeti2","Arctic"
"442","36","position4",1.33,"Serengeti2","Arctic"
"443","36","position5",157.95,"Serengeti2","Arctic"
"444","36","position6",45.34,"Serengeti2","Arctic"
"445","36","position7",0.62,"Serengeti2","Arctic"
"446","36","position8",6.72,"Serengeti2","Arctic"
"447","36","position9",31.56,"Serengeti2","Arctic"
"448","36","position10",475,"Serengeti2","Arctic"
"449","36","position11",3.75,"Serengeti2","Arctic"
"450","36","position12",2.64,"Serengeti2","Arctic"
"451","36","position13",148.19,"Serengeti2","Arctic"
"452","36","position14",12.49,"Serengeti2","Arctic"
"453","36","position15",0.08,"Serengeti2","Arctic"
"454","36","position16",9.45,"Serengeti2","Arctic"
"455","36","position17",46.74,"Serengeti2","Arctic"
"456","36","position18",0.96,"Serengeti2","Arctic"
"457","36","position19",2.62,"Serengeti2","Arctic"
"458","36","position20",0.39,"Serengeti2","Arctic"
"459","36","position21",1.57,"Serengeti2","Arctic"
"460","36","position22",0.13,"Serengeti2","Arctic"
"461","36","position23",1.99,"Serengeti2","Arctic"
"462","36","position24",1.5,"Serengeti2","Arctic"
"463","36","position25",0.41,"Serengeti2","Arctic"
"464","36","position26",0.33,"Serengeti2","Arctic"
"465","36","position27",0.51,"Serengeti2","Arctic"
"466","36","position28",7.56,"Serengeti2","Arctic"
"467","36","position29",1.15,"Serengeti2","Arctic"
"468","36","position30",0.01,"Serengeti2","Arctic"
"469","39","indegree",23.92,"Serengeti2","Arctic"
"470","39","outdegree",23.38,"Serengeti2","Arctic"
"471","39","betweeness",31.0832254896776,"Serengeti2","Arctic"
"472","39","closeness",0.686515985259564,"Serengeti2","Arctic"
"473","39","eigen",0.616611172603824,"Serengeti2","Arctic"
"474","39","TL",4.17938478975393,"Serengeti2","Arctic"
"475","39","OI",2.33977973971315,"Serengeti2","Arctic"
"476","39","within_module_degree",0.847068943706332,"Serengeti2","Arctic"
"477","39","among_module_conn",0.49163321124026,"Serengeti2","Arctic"
"478","39","position1",21.8,"Serengeti2","Arctic"
"479","39","position2",52.39,"Serengeti2","Arctic"
"480","39","position3",14.29,"Serengeti2","Arctic"
"481","39","position4",26.88,"Serengeti2","Arctic"
"482","39","position5",46.55,"Serengeti2","Arctic"
"483","39","position6",176.25,"Serengeti2","Arctic"
"484","39","position7",2.06,"Serengeti2","Arctic"
"485","39","position8",41.55,"Serengeti2","Arctic"
"486","39","position9",7.34,"Serengeti2","Arctic"
"487","39","position10",200.58,"Serengeti2","Arctic"
"488","39","position11",97.51,"Serengeti2","Arctic"
"489","39","position12",95.26,"Serengeti2","Arctic"
"490","39","position13",64.51,"Serengeti2","Arctic"
"491","39","position14",50.46,"Serengeti2","Arctic"
"492","39","position15",1.54,"Serengeti2","Arctic"
"493","39","position16",56.84,"Serengeti2","Arctic"
"494","39","position17",35.07,"Serengeti2","Arctic"
"495","39","position18",23.54,"Serengeti2","Arctic"
"496","39","position19",9.18,"Serengeti2","Arctic"
"497","39","position20",2.59,"Serengeti2","Arctic"
"498","39","position21",12.4,"Serengeti2","Arctic"
"499","39","position22",2.45,"Serengeti2","Arctic"
"500","39","position23",10.25,"Serengeti2","Arctic"
"501","39","position24",8.6,"Serengeti2","Arctic"
"502","39","position25",18.69,"Serengeti2","Arctic"
"503","39","position26",7.91,"Serengeti2","Arctic"
"504","39","position27",12.83,"Serengeti2","Arctic"
"505","39","position28",47.65,"Serengeti2","Arctic"
"506","39","position29",10.77,"Serengeti2","Arctic"
"507","39","position30",1.29,"Serengeti2","Arctic"
"508","40","indegree",15.67,"Serengeti2","Arctic"
"509","40","outdegree",27.32,"Serengeti2","Arctic"
"510","40","betweeness",49.7081401228056,"Serengeti2","Arctic"
"511","40","closeness",0.750481688683262,"Serengeti2","Arctic"
"512","40","eigen",0.584344052687869,"Serengeti2","Arctic"
"513","40","TL",3.55260364711001,"Serengeti2","Arctic"
"514","40","OI",1.91969542102258,"Serengeti2","Arctic"
