"","metric","predicted","targetFW","sourceFW"
"153","connectance",0.248895539860105,"Arctic","Serengeti"
"154","meanTL",7.67785773923327,"Arctic","Serengeti"
"155","maxTL",11.4379368363094,"Arctic","Serengeti"
"156","motif1",33066.71,"Arctic","Serengeti"
"157","motif2",103684.58,"Arctic","Serengeti"
"158","motif3",1011.36,"Arctic","Serengeti"
"159","motif4",38697.58,"Arctic","Serengeti"
"160","motif5",217926.86,"Arctic","Serengeti"
"161","motif6",36706.08,"Arctic","Serengeti"
"162","motif7",27010.15,"Arctic","Serengeti"
"163","motif8",40330.24,"Arctic","Serengeti"
"164","motif9",17714.57,"Arctic","Serengeti"
"165","motif10",7482.57,"Arctic","Serengeti"
"166","motif11",4761.44,"Arctic","Serengeti"
"167","motif12",18770.37,"Arctic","Serengeti"
"168","motif13",6271.55,"Arctic","Serengeti"
"169","diameter",4.44,"Arctic","Serengeti"
"170","n_clusters",3.52,"Arctic","Serengeti"
"171","modularity",0.141229304059909,"Arctic","Serengeti"
"172","connectance",0.310408925764642,"Pyrenees","Serengeti"
"173","meanTL",7.78178944116101,"Pyrenees","Serengeti"
"174","maxTL",10.2843676749453,"Pyrenees","Serengeti"
"175","motif1",44763.81,"Pyrenees","Serengeti"
"176","motif2",162326.98,"Pyrenees","Serengeti"
"177","motif3",1233.6,"Pyrenees","Serengeti"
"178","motif4",53113.57,"Pyrenees","Serengeti"
"179","motif5",259694.31,"Pyrenees","Serengeti"
"180","motif6",65038.21,"Pyrenees","Serengeti"
"181","motif7",26963.83,"Pyrenees","Serengeti"
"182","motif8",48444.4,"Pyrenees","Serengeti"
"183","motif9",17047.28,"Pyrenees","Serengeti"
"184","motif10",9825.51,"Pyrenees","Serengeti"
"185","motif11",5023.15,"Pyrenees","Serengeti"
"186","motif12",22775.76,"Pyrenees","Serengeti"
"187","motif13",6964.84,"Pyrenees","Serengeti"
"188","diameter",4.32,"Pyrenees","Serengeti"
"189","n_clusters",3.42,"Pyrenees","Serengeti"
"190","modularity",0.0971459823512726,"Pyrenees","Serengeti"
"191","connectance",0.243925808626898,"Serengeti","Serengeti"
"192","meanTL",4.84102905939249,"Serengeti","Serengeti"
"193","maxTL",7.84165930783196,"Serengeti","Serengeti"
"194","motif1",180514.8,"Serengeti","Serengeti"
"195","motif2",484509.38,"Serengeti","Serengeti"
"196","motif3",3410.85,"Serengeti","Serengeti"
"197","motif4",239446.75,"Serengeti","Serengeti"
"198","motif5",721364.95,"Serengeti","Serengeti"
"199","motif6",122538.29,"Serengeti","Serengeti"
"200","motif7",90158.91,"Serengeti","Serengeti"
"201","motif8",124288.48,"Serengeti","Serengeti"
"202","motif9",65723.62,"Serengeti","Serengeti"
"203","motif10",25008.72,"Serengeti","Serengeti"
"204","motif11",8125.88,"Serengeti","Serengeti"
"205","motif12",36698.29,"Serengeti","Serengeti"
"206","motif13",10106.46,"Serengeti","Serengeti"
"207","diameter",6.52,"Serengeti","Serengeti"
"208","n_clusters",4.13,"Serengeti","Serengeti"
"209","modularity",0.116230278126629,"Serengeti","Serengeti"
"210","connectance",0.284387428496776,"Euro","Serengeti"
"211","meanTL",9.42929349593921,"Euro","Serengeti"
"212","maxTL",13.0102169388351,"Euro","Serengeti"
"213","motif1",7128400.01,"Euro","Serengeti"
"214","motif2",25335511.5,"Euro","Serengeti"
"215","motif3",224937.31,"Euro","Serengeti"
"216","motif4",8582658.5,"Euro","Serengeti"
"217","motif5",40242498.46,"Euro","Serengeti"
"218","motif6",10152495.41,"Euro","Serengeti"
"219","motif7",5633534.43,"Euro","Serengeti"
"220","motif8",9556192.8,"Euro","Serengeti"
"221","motif9",3448825.29,"Euro","Serengeti"
