"","Source","Target","draw","tpr","tnr","ppv","npv"
"1264","Serengeti","Arctic",64,0.634790528233151,0.750655493290833,0.0670385688179282,0.986454075600446
"1265","Serengeti","Arctic",65,0.623861566484517,0.761297619659658,0.0686992277605055,0.986246628259349
"1266","Serengeti","Arctic",66,0.592896174863388,0.751092488818056,0.0629959357460809,0.984932245668442
"1267","Serengeti","Arctic",67,0.568306010928962,0.751298133772043,0.0605884066414215,0.984040941382445
"1268","Serengeti","Arctic",68,0.647540983606557,0.75780165544188,0.070166781802033,0.987042555328624
"1269","Serengeti","Arctic",69,0.603825136612022,0.765307696262403,0.0677014193811906,0.985599364385738
"1270","Serengeti","Arctic",70,0.63752276867031,0.766515860367076,0.0715526934478176,0.986828606413608
"1271","Serengeti","Arctic",71,0.568306010928962,0.751066783198807,0.0605355064027939,0.984036104001078
"1272","Serengeti","Arctic",72,0.634790528233151,0.745462958202663,0.0657609208415888,0.986361008128975
"1273","Serengeti","Arctic",73,0.62568306010929,0.768906482957174,0.0709930763666426,0.986445932130726
"1274","Serengeti","Arctic",74,0.634790528233151,0.736748753277466,0.0637228012433717,0.986201913151194
"1275","Serengeti","Arctic",75,0.627504553734062,0.752506297876716,0.0667829795483183,0.986221069298925
"1276","Serengeti","Arctic",76,0.622950819672131,0.726749267389851,0.0604560721230334,0.985567872829952
"1277","Serengeti","Arctic",77,0.592896174863388,0.761091974705671,0.0654600301659125,0.985127266677757
"1278","Serengeti","Arctic",78,0.604735883424408,0.771117166212534,0.0693979933110368,0.985738696109359
"1279","Serengeti","Arctic",79,0.560109289617486,0.773610611279626,0.0652727658671195,0.984204329910393
"1280","Serengeti","Arctic",80,0.61384335154827,0.782273404966326,0.0737095363079615,0.986258750324086
"1281","Serengeti","Arctic",81,0.603825136612022,0.775050125957534,0.0704270235818993,0.985777806839731
"1282","Serengeti","Arctic",82,0.626593806921676,0.779857076756979,0.0743623000432339,0.986665799401587
"1283","Serengeti","Arctic",83,0.564663023679417,0.768700838003187,0.0644624662091911,0.984267000197485
"1284","Serengeti","Arctic",84,0.585610200364299,0.759164053262043,0.0642229324810228,0.984827264239029
"1285","Serengeti","Arctic",85,0.632969034608379,0.766078864839854,0.0709545686574783,0.986657838106274
"1286","Serengeti","Arctic",86,0.6183970856102,0.771477044882011,0.0709583028529627,0.986231145870987
"1287","Serengeti","Arctic",87,0.585610200364299,0.765924631124364,0.0659554826136014,0.984959174903309
"1288","Serengeti","Arctic",88,0.570127504553734,0.787928641200967,0.0705272645335737,0.98483485413186
"1289","Serengeti","Arctic",89,0.58287795992714,0.781656470104365,0.0700678782570615,0.985161666558673
"1290","Serengeti","Arctic",90,0.553734061930783,0.762891368053056,0.0618388934092758,0.983757623972421
"1291","Serengeti","Arctic",91,0.645719489981785,0.755128271040049,0.0692721055202736,0.986930959180245
"1292","Serengeti","Arctic",92,0.645719489981785,0.765333401881651,0.072067493392966,0.98710297725615
"1293","Serengeti","Arctic",93,0.647540983606557,0.767698318852501,0.0729380385720148,0.987207457358191
"1294","Serengeti","Arctic",94,0.600182149362477,0.762428666906586,0.0665589334410666,0.985414797833815
"1295","Serengeti","Arctic",95,0.648451730418944,0.785023906225901,0.0784573002754821,0.98751818916734
