"","species","role","predicted","targetFW","sourceFW"
"135","Calcarius lapponicus","position9",7.48,"Arctic","Arctic"
"136","Calcarius lapponicus","position10",73.84,"Arctic","Arctic"
"137","Calcarius lapponicus","position11",0,"Arctic","Arctic"
"138","Calcarius lapponicus","position12",0.03,"Arctic","Arctic"
"139","Calcarius lapponicus","position13",9.2,"Arctic","Arctic"
"140","Calcarius lapponicus","position14",0.14,"Arctic","Arctic"
"141","Calcarius lapponicus","position15",0,"Arctic","Arctic"
"142","Calcarius lapponicus","position16",0.39,"Arctic","Arctic"
"143","Calcarius lapponicus","position17",1.33,"Arctic","Arctic"
"144","Calcarius lapponicus","position18",0,"Arctic","Arctic"
"145","Calcarius lapponicus","position19",0.03,"Arctic","Arctic"
"146","Calcarius lapponicus","position20",0,"Arctic","Arctic"
"147","Calcarius lapponicus","position21",0.04,"Arctic","Arctic"
"148","Calcarius lapponicus","position22",0,"Arctic","Arctic"
"149","Calcarius lapponicus","position23",0,"Arctic","Arctic"
"150","Calcarius lapponicus","position24",0.15,"Arctic","Arctic"
"151","Calcarius lapponicus","position25",0.01,"Arctic","Arctic"
"152","Calcarius lapponicus","position26",0,"Arctic","Arctic"
"153","Calcarius lapponicus","position27",0,"Arctic","Arctic"
"154","Calcarius lapponicus","position28",0.16,"Arctic","Arctic"
"155","Calcarius lapponicus","position29",0.1,"Arctic","Arctic"
"156","Calcarius lapponicus","position30",0,"Arctic","Arctic"
"157","Calidris bairdii","indegree",0.1,"Arctic","Arctic"
"158","Calidris bairdii","outdegree",6.2,"Arctic","Arctic"
"159","Calidris bairdii","betweeness",0.0452460317460317,"Arctic","Arctic"
"160","Calidris bairdii","closeness",0.767252993276274,"Arctic","Arctic"
"161","Calidris bairdii","eigen",0.327063052629905,"Arctic","Arctic"
"162","Calidris bairdii","TL",1.26752830768835,"Arctic","Arctic"
"163","Calidris bairdii","OI",0.00137369950456478,"Arctic","Arctic"
"164","Calidris bairdii","within_module_degree",-0.788029604607521,"Arctic","Arctic"
"165","Calidris bairdii","among_module_conn",0.500300206286218,"Arctic","Arctic"
"166","Calidris bairdii","position1",0,"Arctic","Arctic"
"167","Calidris bairdii","position2",0,"Arctic","Arctic"
"168","Calidris bairdii","position3",0.43,"Arctic","Arctic"
"169","Calidris bairdii","position4",0,"Arctic","Arctic"
"170","Calidris bairdii","position5",7.44,"Arctic","Arctic"
"171","Calidris bairdii","position6",0.19,"Arctic","Arctic"
"172","Calidris bairdii","position7",0,"Arctic","Arctic"
"173","Calidris bairdii","position8",0.18,"Arctic","Arctic"
"174","Calidris bairdii","position9",1.56,"Arctic","Arctic"
"175","Calidris bairdii","position10",73.4,"Arctic","Arctic"
"176","Calidris bairdii","position11",0,"Arctic","Arctic"
"177","Calidris bairdii","position12",0,"Arctic","Arctic"
"178","Calidris bairdii","position13",7.09,"Arctic","Arctic"
"179","Calidris bairdii","position14",0.06,"Arctic","Arctic"
"180","Calidris bairdii","position15",0,"Arctic","Arctic"
"181","Calidris bairdii","position16",0.48,"Arctic","Arctic"
"182","Calidris bairdii","position17",2.94,"Arctic","Arctic"
"183","Calidris bairdii","position18",0,"Arctic","Arctic"
"184","Calidris bairdii","position19",0.01,"Arctic","Arctic"
"185","Calidris bairdii","position20",0.01,"Arctic","Arctic"
"186","Calidris bairdii","position21",0.04,"Arctic","Arctic"
"187","Calidris bairdii","position22",0,"Arctic","Arctic"
"188","Calidris bairdii","position23",0.01,"Arctic","Arctic"
"189","Calidris bairdii","position24",0.08,"Arctic","Arctic"
"190","Calidris bairdii","position25",0.03,"Arctic","Arctic"
"191","Calidris bairdii","position26",0,"Arctic","Arctic"
"192","Calidris bairdii","position27",0,"Arctic","Arctic"
"193","Calidris bairdii","position28",0.23,"Arctic","Arctic"
"194","Calidris bairdii","position29",0.32,"Arctic","Arctic"
"195","Calidris bairdii","position30",0,"Arctic","Arctic"
"196","Calidris fuscicollis","indegree",0.12,"Arctic","Arctic"
"197","Calidris fuscicollis","outdegree",6.05,"Arctic","Arctic"
"198","Calidris fuscicollis","betweeness",0.0909960317460318,"Arctic","Arctic"
"199","Calidris fuscicollis","closeness",0.75149969640204,"Arctic","Arctic"
"200","Calidris fuscicollis","eigen",0.32185902646028,"Arctic","Arctic"
"201","Calidris fuscicollis","TL",1.29612045611673,"Arctic","Arctic"
"202","Calidris fuscicollis","OI",0.0169284538202542,"Arctic","Arctic"
"203","Calidris fuscicollis","within_module_degree",-0.790723085092104,"Arctic","Arctic"
"204","Calidris fuscicollis","among_module_conn",0.497957338120433,"Arctic","Arctic"
"205","Calidris fuscicollis","position1",0.04,"Arctic","Arctic"
"206","Calidris fuscicollis","position2",0.03,"Arctic","Arctic"
"207","Calidris fuscicollis","position3",1.12,"Arctic","Arctic"
"208","Calidris fuscicollis","position4",0,"Arctic","Arctic"
"209","Calidris fuscicollis","position5",7.1,"Arctic","Arctic"
"210","Calidris fuscicollis","position6",0.3,"Arctic","Arctic"
"211","Calidris fuscicollis","position7",0.01,"Arctic","Arctic"
"212","Calidris fuscicollis","position8",0.3,"Arctic","Arctic"
"213","Calidris fuscicollis","position9",1.4,"Arctic","Arctic"
"214","Calidris fuscicollis","position10",71.41,"Arctic","Arctic"
"215","Calidris fuscicollis","position11",0,"Arctic","Arctic"
"216","Calidris fuscicollis","position12",0.01,"Arctic","Arctic"
"217","Calidris fuscicollis","position13",6.76,"Arctic","Arctic"
"218","Calidris fuscicollis","position14",0.01,"Arctic","Arctic"
"219","Calidris fuscicollis","position15",0,"Arctic","Arctic"
"220","Calidris fuscicollis","position16",0.42,"Arctic","Arctic"
"221","Calidris fuscicollis","position17",3.26,"Arctic","Arctic"
"222","Calidris fuscicollis","position18",0,"Arctic","Arctic"
"223","Calidris fuscicollis","position19",0,"Arctic","Arctic"
"224","Calidris fuscicollis","position20",0.02,"Arctic","Arctic"
"225","Calidris fuscicollis","position21",0.02,"Arctic","Arctic"
"226","Calidris fuscicollis","position22",0,"Arctic","Arctic"
"227","Calidris fuscicollis","position23",0.02,"Arctic","Arctic"
"228","Calidris fuscicollis","position24",0.08,"Arctic","Arctic"
"229","Calidris fuscicollis","position25",0,"Arctic","Arctic"
"230","Calidris fuscicollis","position26",0.01,"Arctic","Arctic"
"231","Calidris fuscicollis","position27",0,"Arctic","Arctic"
"232","Calidris fuscicollis","position28",0.24,"Arctic","Arctic"
"233","Calidris fuscicollis","position29",0.34,"Arctic","Arctic"
"234","Calidris fuscicollis","position30",0,"Arctic","Arctic"
"235","Calidris melanotos","indegree",0.5,"Arctic","Arctic"
"236","Calidris melanotos","outdegree",6.08,"Arctic","Arctic"
"237","Calidris melanotos","betweeness",0.149507936507937,"Arctic","Arctic"
"238","Calidris melanotos","closeness",0.760217192637084,"Arctic","Arctic"
"239","Calidris melanotos","eigen",0.336656579154331,"Arctic","Arctic"
"240","Calidris melanotos","TL",1.62687766422031,"Arctic","Arctic"
"241","Calidris melanotos","OI",0.0463580673007922,"Arctic","Arctic"
"242","Calidris melanotos","within_module_degree",-0.775803505762525,"Arctic","Arctic"
"243","Calidris melanotos","among_module_conn",0.498494160997732,"Arctic","Arctic"
"244","Calidris melanotos","position1",0.12,"Arctic","Arctic"
"245","Calidris melanotos","position2",0.06,"Arctic","Arctic"
"246","Calidris melanotos","position3",0.67,"Arctic","Arctic"
"247","Calidris melanotos","position4",0.03,"Arctic","Arctic"
"248","Calidris melanotos","position5",7.17,"Arctic","Arctic"
"249","Calidris melanotos","position6",2.4,"Arctic","Arctic"
"250","Calidris melanotos","position7",0,"Arctic","Arctic"
"251","Calidris melanotos","position8",1.43,"Arctic","Arctic"
"252","Calidris melanotos","position9",1.23,"Arctic","Arctic"
"253","Calidris melanotos","position10",69.86,"Arctic","Arctic"
"254","Calidris melanotos","position11",0.18,"Arctic","Arctic"
"255","Calidris melanotos","position12",0.05,"Arctic","Arctic"
"256","Calidris melanotos","position13",6.94,"Arctic","Arctic"
"257","Calidris melanotos","position14",0.02,"Arctic","Arctic"
"258","Calidris melanotos","position15",0.01,"Arctic","Arctic"
"259","Calidris melanotos","position16",0.71,"Arctic","Arctic"
"260","Calidris melanotos","position17",2.81,"Arctic","Arctic"
"261","Calidris melanotos","position18",0,"Arctic","Arctic"
