"","metric","predicted","targetFW","sourceFW"
"289","motif1",5520554.82,"europe","europe"
"290","motif2",2033517.94,"europe","europe"
"291","motif3",65375.46,"europe","europe"
"292","motif4",3769833.71,"europe","europe"
"293","motif5",11740632.16,"europe","europe"
"294","motif6",226151.11,"europe","europe"
"295","motif7",53991.15,"europe","europe"
"296","motif8",1206503.82,"europe","europe"
"297","motif9",268208.36,"europe","europe"
"298","motif10",73967.54,"europe","europe"
"299","motif11",2028.63,"europe","europe"
"300","motif12",29407.52,"europe","europe"
"301","motif13",36249.47,"europe","europe"
"302","diameter",6.29,"europe","europe"
"303","n_clusters",6.84,"europe","europe"
"304","modularity",0.118643313867794,"europe","europe"
