"","role","sourceFW","estimate_(Intercept)_Serengeti","std.error_(Intercept)_Serengeti","estimate_(Intercept)_Pyrenees","std.error_(Intercept)_Pyrenees","insample","estimate_empirical_Euro","estimate_(Intercept)_Arctic","std.error_(Intercept)_Arctic","estimate_empirical_Serengeti","std.error_empirical_Serengeti","estimate_empirical_Pyrenees","std.error_empirical_Pyrenees","estimate_(Intercept)_Euro","std.error_(Intercept)_Euro","estimate_empirical_Arctic","std.error_empirical_Arctic","r.squared_Serengeti","r.squared_Pyrenees","std.error_empirical_Euro","r.squared_Arctic"
"115","position15","Euro",11.6189028465045,4.51269517590517,25.4919387755102,4.14308153321602,"between food webs",NA,6.95769938973063,1.40813604163044,0.205976790436939,0.0187026060511271,NA,NA,NA,NA,53.4423006102697,19.5624510878765,0.290664648420757,0,NA,0.037604845909385
"116","position15","Euro",NA,NA,NA,NA,"within food web",172.281686087573,NA,NA,NA,NA,NA,NA,227.027560620964,17.6142109156769,NA,NA,NA,NA,10.9426749716611,NA
"117","position15","Pyrenees",16.5155125181211,3.1085550420874,NA,NA,"between food webs",94.7081585451984,4.4653125,0.713048761096761,0.186503961754116,0.0128832278880312,NA,NA,240.171406792272,16.1236691612056,16.3646875000001,9.90598997528336,0.414520899077784,NA,10.0166889011553,0.0140872038994648
"118","position15","Pyrenees",NA,NA,7.4254081632653,1.21977543020832,"within food web",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"119","position15","Serengeti",NA,NA,137.345357142857,14.4220139892418,"between food webs",1414.77913047317,134.132242324561,15.5625015147465,NA,NA,NA,NA,4564.69711916742,214.7441385987,661.497757675444,216.201180629344,NA,0,133.407923977083,0.0467225546567262
"120","position15","Serengeti",75.3838513452599,13.8844522198105,NA,NA,"within food web",NA,NA,NA,1.7256259490322,0.0575433150214331,NA,NA,NA,NA,NA,NA,0.752362984550779,NA,NA,NA
"121","position16","Arctic",NA,NA,NA,NA,"within food web",NA,132.856083902411,14.3995818687844,NA,NA,NA,NA,NA,NA,13.1074623741033,6.03983705289459,NA,NA,NA,0.0240643756983298
"122","position16","Arctic",698.107058823528,36.970276591519,276.812602040816,18.9238860786151,"between food webs",9.62149794788803,NA,NA,0.388515038731543,0.492442843345103,NA,NA,7592.69931713567,175.268143001367,NA,NA,0.00209845659821462,0,5.70841059306752,NA
"123","position16","Euro",218.598166089966,20.600567742903,96.5837755102041,9.14616852094098,"between food webs",NA,55.486328624641,6.97753835527552,0.782334492075699,0.274398870907169,NA,NA,NA,NA,7.59221076744855,2.92669572493246,0.0267277826836761,0,NA,0.0340337611219331
"124","position16","Euro",NA,NA,NA,NA,"within food web",11.1420953970819,NA,NA,NA,NA,NA,NA,1480.66638116975,71.3272402330296,NA,NA,NA,NA,2.32309857768803,NA
