"","Species.ID","ITIS.code","Catalogue.of.Life","Class","Order","Family","Species","Author","synonym1","synonym2","synonym3"
"390","B291",554121,"v1.9 rev 2126ab0","Aves","Piciformes","Picidae","Picus viridis","Linnaeus, 1758Ê",NA,NA,NA
"391","B292",554125,"v1.9 rev 2126ab0","Aves","Piciformes","Picidae","Picus canus","Gmelin, 1788Ê",NA,NA,NA
"392","B293",558553,"v1.9 rev 2126ab0","Aves","Passeriformes","Alaudidae","Ammomanes deserti","(Lichtenstein, 1823)Ê",NA,NA,NA
"393","B294",561038,"v1.9 rev 2126ab0","Aves","Passeriformes","Alaudidae","Melanocorypha calandra","(Linnaeus, 1766)Ê",NA,NA,NA
"394","B295",561037,"v1.9 rev 2126ab0","Aves","Passeriformes","Alaudidae","Melanocorypha bimaculata","(Mntris, 1832)Ê",NA,NA,NA
"395","B296",561039,"v1.9 rev 2126ab0","Aves","Passeriformes","Alaudidae","Melanocorypha leucoptera","(Pallas, 1811)Ê",NA,NA,NA
"396","B297",558980,"v1.9 rev 2126ab0","Aves","Passeriformes","Alaudidae","Calandrella brachydactyla","(Leisler, 1814)Ê",NA,NA,NA
"397","B298",558985,"v1.9 rev 2126ab0","Aves","Passeriformes","Alaudidae","Calandrella rufescens","(Vieillot, 1819)Ê",NA,NA,NA
"398","B299",558981,"v1.9 rev 2126ab0","Aves","Passeriformes","Alaudidae","Calandrella cheleensis","(Swinhoe, 1871)Ê",NA,NA,NA
"399","B300",559186,"v1.9 rev 2126ab0","Aves","Passeriformes","Alaudidae","Chersophilus duponti","(Vieillot, 1824)Ê",NA,NA,NA
"400","B301",560129,"v1.9 rev 2126ab0","Aves","Passeriformes","Alaudidae","Galerida cristata","(Linnaeus, 1758)Ê",NA,NA,NA
"401","B302",560894,"v1.9 rev 2126ab0","Aves","Passeriformes","Alaudidae","Lullula arborea","(Linnaeus, 1758)Ê",NA,NA,NA
"402","B303",178398,"v1.9 rev 2126ab0","Aves","Passeriformes","Alaudidae","Alauda arvensis","Linnaeus, 1758Ê",NA,NA,NA
"403","B304",554256,"v1.9 rev 2126ab0","Aves","Passeriformes","Alaudidae","Eremophila alpestris","(Linnaeus, 1758)Ê",NA,NA,NA
"404","B305",178436,"v1.9 rev 2126ab0","Aves","Passeriformes","Hirundinidae","Riparia riparia","(Linnaeus, 1758)Ê",NA,NA,NA
"405","B306",916667,"v1.9 rev 2126ab0","Aves","Passeriformes","Hirundinidae","Ptyonoprogne rupestris","(Scopoli, 1769)Ê","Hirundo rupestris",NA,NA
"406","B307",178448,"v1.9 rev 2126ab0","Aves","Passeriformes","Hirundinidae","Hirundo rustica","Linnaeus, 1758Ê",NA,NA,NA
"407","B308",916675,"v1.9 rev 2126ab0","Aves","Passeriformes","Hirundinidae","Cecropis daurica","Laxmann, 1769Ê","Hirundo daurica",NA,NA
"408","B309",726115,"v1.9 rev 2126ab0","Aves","Passeriformes","Hirundinidae","Delichon urbicum","(Linnaeus, 1758)Ê","Delichon urbica","Delichon urbica urbica",NA
"409","B310",178476,"v1.9 rev 2126ab0","Aves","Passeriformes","Motacillidae","Motacilla alba","Linnaeus, 1758Ê",NA,NA,NA
"410","B311",554345,"v1.9 rev 2126ab0","Aves","Passeriformes","Motacillidae","Motacilla citreola","Pallas, 1776Ê",NA,NA,NA
"411","B312",178483,"v1.9 rev 2126ab0","Aves","Passeriformes","Motacillidae","Motacilla flava","Linnaeus, 1758Ê",NA,NA,NA
"412","B313",178480,"v1.9 rev 2126ab0","Aves","Passeriformes","Motacillidae","Motacilla cinerea","Tunstall, 1771Ê",NA,NA,NA
"413","B314",558640,"v1.9 rev 2126ab0","Aves","Passeriformes","Motacillidae","Anthus campestris","(Linnaeus, 1758)Ê",NA,NA,NA
"414","B315",558635,"v1.9 rev 2126ab0","Aves","Passeriformes","Motacillidae","Anthus berthelotii","Bolle, 1862Ê",NA,NA,NA
"415","B316",178500,"v1.9 rev 2126ab0","Aves","Passeriformes","Motacillidae","Anthus trivialis","(Linnaeus, 1758)Ê",NA,NA,NA
"416","B317",178495,"v1.9 rev 2126ab0","Aves","Passeriformes","Motacillidae","Anthus hodgsoni","Richmond, 1907Ê",NA,NA,NA
"417","B318",178497,"v1.9 rev 2126ab0","Aves","Passeriformes","Motacillidae","Anthus pratensis","(Linnaeus, 1758)Ê",NA,NA,NA
"418","B319",178498,"v1.9 rev 2126ab0","Aves","Passeriformes","Motacillidae","Anthus cervinus","(Pallas, 1811)Ê","Anthus cervinus cervinus","Anthus cervinus rufogularis",NA
"419","B320",558662,"v1.9 rev 2126ab0","Aves","Passeriformes","Motacillidae","Anthus petrosus","(Montagu, 1798)Ê",NA,NA,NA
"420","B321",178489,"v1.9 rev 2126ab0","Aves","Passeriformes","Motacillidae","Anthus spinoletta","(Linnaeus, 1758)Ê",NA,NA,NA
"421","B322",562635,"v1.9 rev 2126ab0","Aves","Passeriformes","Pycnonotidae","Pycnonotus xanthopygos","(Hemprich & Ehrenberg, 1833)Ê",NA,NA,NA
"422","B323",562698,"v1.9 rev 2126ab0","Aves","Passeriformes","Reguliidae","Regulus regulus","(Linnaeus, 1758)Ê",NA,NA,NA
"423","B324",916249,"v1.9 rev 2126ab0","Aves","Passeriformes","Reguliidae","Regulus ignicapilla","(Temminck, 1820)Ê","Regulus ignicapillus",NA,NA
"424","B325",178529,"v1.9 rev 2126ab0","Aves","Passeriformes","Bombycillidae","Bombycilla garrulus","(Linnaeus, 1758)Ê",NA,NA,NA
"425","B326",559287,"v1.9 rev 2126ab0","Aves","Passeriformes","Cinclidae","Cinclus cinclus","(Linnaeus, 1758)Ê",NA,NA,NA
"426","B327",178547,"v1.9 rev 2126ab0","Aves","Passeriformes","Troglodytidae","Troglodytes troglodytes","(Linnaeus, 1758)Ê","Nannus troglodytes",NA,NA
"427","B328",562483,"v1.9 rev 2126ab0","Aves","Passeriformes","Prunellidae","Prunella collaris","(Scopoli, 1769)Ê",NA,NA,NA
"428","B329",178660,"v1.9 rev 2126ab0","Aves","Passeriformes","Prunellidae","Prunella montanella","(Pallas, 1776)Ê",NA,NA,NA
"429","B330",562490,"v1.9 rev 2126ab0","Aves","Passeriformes","Prunellidae","Prunella ocularis","(Radde, 1884)Ê",NA,NA,NA
"430","B331",562482,"v1.9 rev 2126ab0","Aves","Passeriformes","Prunellidae","Prunella atrogularis","(Brandt, 1843)Ê",NA,NA,NA
"431","B332",562489,"v1.9 rev 2126ab0","Aves","Passeriformes","Prunellidae","Prunella modularis","(Linnaeus, 1758)Ê",NA,NA,NA
"432","B333",561216,"v1.9 rev 2126ab0","Aves","Passeriformes","Muscicapidae","Monticola saxatilis","(Linnaeus, 1766)Ê",NA,NA,NA
"433","B334",179834,"v1.9 rev 2126ab0","Aves","Passeriformes","Muscicapidae","Monticola solitarius","(Linnaeus, 1758)Ê",NA,NA,NA
"434","B335",563785,"v1.9 rev 2126ab0","Aves","Passeriformes","Turdidae","Zoothera dauma","(Latham, 1790)Ê",NA,NA,NA
"435","B336",563617,"v1.9 rev 2126ab0","Aves","Passeriformes","Turdidae","Turdus torquatus","Linnaeus, 1758Ê",NA,NA,NA
"436","B337",179757,"v1.9 rev 2126ab0","Aves","Passeriformes","Turdidae","Turdus merula","Linnaeus, 1758Ê",NA,NA,NA
"437","B338",563610,"v1.9 rev 2126ab0","Aves","Passeriformes","Turdidae","Turdus ruficollis","Pallas, 1776Ê",NA,NA,NA
"438","B339",179766,"v1.9 rev 2126ab0","Aves","Passeriformes","Turdidae","Turdus pilaris","Linnaeus, 1758Ê",NA,NA,NA
"439","B340",179769,"v1.9 rev 2126ab0","Aves","Passeriformes","Turdidae","Turdus iliacus","Linnaeus, 1758Ê","Turdus musicus",NA,NA
"440","B341",563604,"v1.9 rev 2126ab0","Aves","Passeriformes","Turdidae","Turdus philomelos","C. L. Brehm, 1831Ê",NA,NA,NA
"441","B342",563619,"v1.9 rev 2126ab0","Aves","Passeriformes","Turdidae","Turdus viscivorus","Linnaeus, 1758Ê",NA,NA,NA
"442","B343",559335,"v1.9 rev 2126ab0","Aves","Passeriformes","Cisticolidae","Cisticola juncidis","(Rafinesque, 1810)Ê",NA,NA,NA
"443","B344",562441,"v1.9 rev 2126ab0","Aves","Passeriformes","Cisticolidae","Prinia gracilis","(Lichtenstein, 1823)Ê",NA,NA,NA
"444","B345",559157,"v1.9 rev 2126ab0","Aves","Passeriformes","Sylviidae","Cettia cetti","(Temminck, 1820)Ê",NA,NA,NA
"445","B346",179851,"v1.9 rev 2126ab0","Aves","Passeriformes","Sylviidae","Locustella lanceolata","(Temminck, 1840)Ê",NA,NA,NA
"446","B347",560839,"v1.9 rev 2126ab0","Aves","Passeriformes","Sylviidae","Locustella naevia","(Boddaert, 1783)Ê",NA,NA,NA
"447","B348",560837,"v1.9 rev 2126ab0","Aves","Passeriformes","Sylviidae","Locustella fluviatilis","(Wolf, 1810)Ê",NA,NA,NA
"448","B349",560838,"v1.9 rev 2126ab0","Aves","Passeriformes","Sylviidae","Locustella luscinioides","(Savi, 1824)Ê",NA,NA,NA
"449","B350",558420,"v1.9 rev 2126ab0","Aves","Passeriformes","Sylviidae","Acrocephalus melanopogon","(Temminck, 1823)Ê",NA,NA,NA
"450","B351",558423,"v1.9 rev 2126ab0","Aves","Passeriformes","Sylviidae","Acrocephalus paludicola","(Vieillot, 1817)Ê",NA,NA,NA
"451","B352",558428,"v1.9 rev 2126ab0","Aves","Passeriformes","Sylviidae","Acrocephalus schoenobaenus","(Linnaeus, 1758)Ê",NA,NA,NA
"452","B353",558407,"v1.9 rev 2126ab0","Aves","Passeriformes","Sylviidae","Acrocephalus agricola","(Jerdon, 1845)Ê",NA,NA,NA
"453","B354",558429,"v1.9 rev 2126ab0","Aves","Passeriformes","Sylviidae","Acrocephalus scirpaceus","(Hermann, 1804)Ê",NA,NA,NA
"454","B355",558416,"v1.9 rev 2126ab0","Aves","Passeriformes","Sylviidae","Acrocephalus dumetorum","Blyth, 1849Ê",NA,NA,NA
"455","B356",558424,"v1.9 rev 2126ab0","Aves","Passeriformes","Sylviidae","Acrocephalus palustris","(Bechstein, 1798)Ê",NA,NA,NA
"456","B357",558408,"v1.9 rev 2126ab0","Aves","Passeriformes","Sylviidae","Acrocephalus arundinaceus","(Linnaeus, 1758)Ê",NA,NA,NA
"457","B358",916788,"v1.9 rev 2126ab0","Aves","Passeriformes","Sylviidae","Iduna caligata","(Lichtenstein, 1823)Ê","Hippolais caligata",NA,NA
"458","B359",916790,"v1.9 rev 2126ab0","Aves","Passeriformes","Sylviidae","Iduna pallida","(Hemprich & Ehrenberg, 1833)Ê","Hippolais pallida",NA,NA
"459","B360",560448,"v1.9 rev 2126ab0","Aves","Passeriformes","Sylviidae","Hippolais languida","(Hemprich & Ehrenberg, 1833)Ê",NA,NA,NA
"460","B361",560449,"v1.9 rev 2126ab0","Aves","Passeriformes","Sylviidae","Hippolais olivetorum","(Strickland, 1837)Ê",NA,NA,NA
"461","B362",560451,"v1.9 rev 2126ab0","Aves","Passeriformes","Sylviidae","Hippolais polyglotta","(Vieillot, 1817)Ê",NA,NA,NA
"462","B363",560447,"v1.9 rev 2126ab0","Aves","Passeriformes","Sylviidae","Hippolais icterina","(Vieillot, 1817)Ê",NA,NA,NA
"463","B364",179841,"v1.9 rev 2126ab0","Aves","Passeriformes","Sylviidae","Phylloscopus trochilus","(Linnaeus, 1758)Ê",NA,NA,NA
"464","B365",562129,"v1.9 rev 2126ab0","Aves","Passeriformes","Sylviidae","Phylloscopus collybita","(Vieillot, 1817)Ê",NA,NA,NA
"465","B366",925126,"v1.9 rev 2126ab0","Aves","Passeriformes","Sylviidae","Phylloscopus sindianus lorenzii","(T. Lorenz, 1887)","Phylloscopus lorenzii",NA,NA
"466","B367",562123,"v1.9 rev 2126ab0","Aves","Passeriformes","Sylviidae","Phylloscopus bonelli","(Vieillot, 1819)Ê",NA,NA,NA
"467","B368",916708,"v1.9 rev 2126ab0","Aves","Passeriformes","Sylviidae","Phylloscopus sibillatrix","(Bechstein, 1793)Ê","Phylloscopus sibilatrix",NA,NA
"468","B369",562136,"v1.9 rev 2126ab0","Aves","Passeriformes","Sylviidae","Phylloscopus inornatus","(Blyth, 1842)Ê",NA,NA,NA
"469","B370",179843,"v1.9 rev 2126ab0","Aves","Passeriformes","Sylviidae","Phylloscopus borealis","(J. H. Blasius, 1858)Ê",NA,NA,NA
"470","B371",562159,"v1.9 rev 2126ab0","Aves","Passeriformes","Sylviidae","Phylloscopus trochiloides","(Sundevall, 1837)Ê",NA,NA,NA
"471","B372",563183,"v1.9 rev 2126ab0","Aves","Passeriformes","Sylviidae","Sylvia atricapilla","(Linnaeus, 1758)Ê",NA,NA,NA
"472","B373",563185,"v1.9 rev 2126ab0","Aves","Passeriformes","Sylviidae","Sylvia borin","(Boddaert, 1783)Ê",NA,NA,NA
"473","B374",563188,"v1.9 rev 2126ab0","Aves","Passeriformes","Sylviidae","Sylvia communis","Latham, 1787Ê",NA,NA,NA
"474","B375",563190,"v1.9 rev 2126ab0","Aves","Passeriformes","Sylviidae","Sylvia curruca","(Linnaeus, 1758)Ê",NA,NA,NA
"475","B376",563201,"v1.9 rev 2126ab0","Aves","Passeriformes","Sylviidae","Sylvia nisoria","(Bechstein, 1792)Ê",NA,NA,NA
"476","B377",563192,"v1.9 rev 2126ab0","Aves","Passeriformes","Sylviidae","Sylvia hortensis","(Gmelin, 1789)Ê",NA,NA,NA
"477","B378",915909,"v1.9 rev 2126ab0","Aves","Passeriformes","Sylviidae","Sylvia ruppeli","Temminck, 1823Ê","Sylvia rueppelli",NA,NA
"478","B379",563187,"v1.9 rev 2126ab0","Aves","Passeriformes","Sylviidae","Sylvia cantillans","(Pallas, 1764)Ê",NA,NA,NA
"479","B380",563196,"v1.9 rev 2126ab0","Aves","Passeriformes","Sylviidae","Sylvia melanocephala","(Gmelin, 1789)Ê",NA,NA,NA
"480","B381",563197,"v1.9 rev 2126ab0","Aves","Passeriformes","Sylviidae","Sylvia melanothorax","Tristram, 1872Ê",NA,NA,NA
"481","B382",563199,"v1.9 rev 2126ab0","Aves","Passeriformes","Sylviidae","Sylvia mystacea","Mntris, 1832Ê",NA,NA,NA
"482","B383",563189,"v1.9 rev 2126ab0","Aves","Passeriformes","Sylviidae","Sylvia conspicillata","Temminck, 1820Ê",NA,NA,NA
"483","B384",563205,"v1.9 rev 2126ab0","Aves","Passeriformes","Sylviidae","Sylvia undata","(Boddaert, 1783)Ê",NA,NA,NA
"484","B385",563203,"v1.9 rev 2126ab0","Aves","Passeriformes","Sylviidae","Sylvia sarda","Temminck, 1820Ê",NA,NA,NA
"485","B386",561250,"v1.9 rev 2126ab0","Aves","Passeriformes","Muscicapidae","Muscicapa striata","(Pallas, 1764)Ê",NA,NA,NA
"486","B387",560081,"v1.9 rev 2126ab0","Aves","Passeriformes","Muscicapidae","Ficedula hypoleuca","(Pallas, 1764)Ê",NA,NA,NA
"487","B388",560071,"v1.9 rev 2126ab0","Aves","Passeriformes","Muscicapidae","Ficedula albicollis","(Temminck, 1815)Ê",NA,NA,NA
"488","B389",560087,"v1.9 rev 2126ab0","Aves","Passeriformes","Muscicapidae","Ficedula semitorquata","(Homeyer, 1885)Ê",NA,NA,NA
"489","B390",178675,"v1.9 rev 2126ab0","Aves","Passeriformes","Muscicapidae","Ficedula parva","(Bechstein, 1792)Ê",NA,NA,NA
"490","B391",559964,"v1.9 rev 2126ab0","Aves","Passeriformes","Muscicapidae","Erithacus rubecula","(Linnaeus, 1758)Ê",NA,NA,NA
"491","B392",560896,"v1.9 rev 2126ab0","Aves","Passeriformes","Muscicapidae","Luscinia luscinia","(Linnaeus, 1758)Ê",NA,NA,NA
"492","B393",560897,"v1.9 rev 2126ab0","Aves","Passeriformes","Muscicapidae","Luscinia megarhynchos","C. L. Brehm, 1831Ê",NA,NA,NA
"493","B394",179820,"v1.9 rev 2126ab0","Aves","Passeriformes","Muscicapidae","Luscinia calliope","(Pallas, 1776)Ê",NA,NA,NA
"494","B395",179818,"v1.9 rev 2126ab0","Aves","Passeriformes","Muscicapidae","Luscinia svecica","(Linnaeus, 1758)Ê",NA,NA,NA
"495","B396",179838,"v1.9 rev 2126ab0","Aves","Passeriformes","Muscicapidae","Tarsiger cyanurus","(Pallas, 1773)Ê",NA,NA,NA
"496","B397",560607,"v1.9 rev 2126ab0","Aves","Passeriformes","Muscicapidae","Irania gutturalis","(Guerin-Meneville, 1843)Ê",NA,NA,NA
"497","B398",916328,"v1.9 rev 2126ab0","Aves","Passeriformes","Muscicapidae","Erythropygia galactotes","(Temminck, 1820)","Cercotrichas galactotes",NA,NA
"498","B399",562036,"v1.9 rev 2126ab0","Aves","Passeriformes","Muscicapidae","Phoenicurus ochruros","(S. G. Gmelin, 1774)Ê",NA,NA,NA
"499","B400",562037,"v1.9 rev 2126ab0","Aves","Passeriformes","Muscicapidae","Phoenicurus phoenicurus","(Linnaeus, 1758)Ê",NA,NA,NA
"500","B401",562837,"v1.9 rev 2126ab0","Aves","Passeriformes","Muscicapidae","Saxicola rubetra","(Linnaeus, 1758)Ê",NA,NA,NA
"501","B402",726114,"v1.9 rev 2126ab0","Aves","Passeriformes","Muscicapidae","Saxicola torquatus","(Linnaeus, 1766)Ê","Saxicola torquata",NA,NA
"502","B403",561653,"v1.9 rev 2126ab0","Aves","Passeriformes","Muscicapidae","Oenanthe leucura","(Gmelin, 1789)Ê",NA,NA,NA
"503","B404",179814,"v1.9 rev 2126ab0","Aves","Passeriformes","Muscicapidae","Oenanthe oenanthe","(Linnaeus, 1758)Ê",NA,NA,NA
"504","B405",561648,"v1.9 rev 2126ab0","Aves","Passeriformes","Muscicapidae","Oenanthe finschii","(Heuglin, 1869)Ê",NA,NA,NA
"505","B406",561663,"v1.9 rev 2126ab0","Aves","Passeriformes","Muscicapidae","Oenanthe pleschanka","(Lepechin, 1770)Ê",NA,NA,NA
"506","B407",561650,"v1.9 rev 2126ab0","Aves","Passeriformes","Muscicapidae","Oenanthe hispanica","(Linnaeus, 1758)Ê",NA,NA,NA
"507","B408",916352,"v1.9 rev 2126ab0","Aves","Passeriformes","Muscicapidae","Oenanthe chrysopygia","(Filippi, 1863)Ê",NA,NA,NA
"508","B409",561647,"v1.9 rev 2126ab0","Aves","Passeriformes","Muscicapidae","Oenanthe deserti","(Temminck, 1825)Ê",NA,NA,NA
"509","B410",561646,"v1.9 rev 2126ab0","Aves","Passeriformes","Muscicapidae","Oenanthe cypriaca","(Homeyer, 1884)Ê",NA,NA,NA
"510","B411",561651,"v1.9 rev 2126ab0","Aves","Passeriformes","Muscicapidae","Oenanthe isabellina","(Temminck, 1829)Ê",NA,NA,NA
"511","B412",561803,"v1.9 rev 2126ab0","Aves","Passeriformes","Timaliidae","Panurus biarmicus","(Linnaeus, 1758)Ê",NA,NA,NA
"512","B413",558441,"v1.9 rev 2126ab0","Aves","Passeriformes","Aegithalidae","Aegithalos caudatus","(Linnaeus, 1758)Ê",NA,NA,NA
"513","B414",562352,"v1.9 rev 2126ab0","Aves","Passeriformes","Paridae","Poecile lugubris","(Temminck, 1820)",NA,NA,NA
"514","B415",562354,"v1.9 rev 2126ab0","Aves","Passeriformes","Paridae","Poecile palustris","(Linnaeus, 1758)Ê",NA,NA,NA
"515","B416",562353,"v1.9 rev 2126ab0","Aves","Passeriformes","Paridae","Poecile montanus","(Conrad von Baldenstein, 1827)","Poecile montana",NA,NA
"516","B417",554384,"v1.9 rev 2126ab0","Aves","Passeriformes","Paridae","Poecile cinctus","Boddaert, 1783Ê","Parus cinctus","Poecile cincta",NA
"517","B418",561927,"v1.9 rev 2126ab0","Aves","Passeriformes","Paridae","Periparus ater","(Linnaeus, 1758)","Periparus melanolophus",NA,NA
"518","B419",560873,"v1.9 rev 2126ab0","Aves","Passeriformes","Paridae","Lophophanes cristatus","(Linnaeus, 1758)",NA,NA,NA
"519","B420",561864,"v1.9 rev 2126ab0","Aves","Passeriformes","Paridae","Parus major","Linnaeus, 1758Ê",NA,NA,NA
"520","B421",559612,"v1.9 rev 2126ab0","Aves","Passeriformes","Paridae","Cyanistes caeruleus","(Linnaeus, 1758)",NA,NA,NA
"521","B422",559613,"v1.9 rev 2126ab0","Aves","Passeriformes","Paridae","Cyanistes cyanus","(Pallas, 1770)",NA,NA,NA
"522","B423",563018,"v1.9 rev 2126ab0","Aves","Passeriformes","Sittidae","Sitta europaea","Linnaeus, 1758Ê",NA,NA,NA
"523","B424",563033,"v1.9 rev 2126ab0","Aves","Passeriformes","Sittidae","Sitta whiteheadi","Sharpe, 1884Ê",NA,NA,NA
"524","B425",563022,"v1.9 rev 2126ab0","Aves","Passeriformes","Sittidae","Sitta krueperi","Pelzeln, 1863Ê",NA,NA,NA
"525","B426",563027,"v1.9 rev 2126ab0","Aves","Passeriformes","Sittidae","Sitta neumayer","Michahelles, 1830Ê",NA,NA,NA
"526","B427",563030,"v1.9 rev 2126ab0","Aves","Passeriformes","Sittidae","Sitta tephronota","Sharpe, 1872Ê",NA,NA,NA
"527","B428",563471,"v1.9 rev 2126ab0","Aves","Passeriformes","Sittidae","Tichodroma muraria","(Linnaeus, 1766)Ê",NA,NA,NA
"528","B429",178795,"v1.9 rev 2126ab0","Aves","Passeriformes","Certhiidae","Certhia familiaris","Linnaeus, 1758Ê",NA,NA,NA
"529","B430",559138,"v1.9 rev 2126ab0","Aves","Passeriformes","Certhiidae","Certhia brachydactyla","C. L. Brehm, 1820Ê",NA,NA,NA
"530","B431",562702,"v1.9 rev 2126ab0","Aves","Passeriformes","Remizidae","Remiz pendulinus","(Linnaeus, 1758)Ê",NA,NA,NA
